country;link;text;Civil law ; Equal right;Automatic transfer;Wills;Gender bias;Parents include
Iran;https://www.everyculture.com/Ge-It/Iran.html;“Inheritance generally follows rules prescribed by Islamic law. Male children inherit full shares of their father's estate, wives and daughters half-shares. An individual may make a religious bequest of specific goods or property that are then administered by the ministry of waqfs.;0;0;0;1;1;0
Australia;https://www.everyculture.com/A-Bo/Australia.html;“Inheritance. Citizens have ‘testamentary freedom’ or the right to declare how they wish their property to be distributed after death. With this freedom, individuals can legally enforce their cultural practices. They also can choose to remove relatives from the will and pass their property to a charitable organization or an unrelated person. If an individual dies without a valid will, the property is distributed to the spouse, then the children of the deceased, and then the parents and other kin. If there are no relatives, the property goes to the Crown.”;1;1;1;1;0;1
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;“Inheritance. Brazilians trace their ancestry and inherit through both maternal and paternal lines. They typically have two surnames, that of their mother's and father's families. When a woman marries she usually adds her husband's surname to her own and drops that of her mother's family, while her children are given the surnames of their mother's father and their own father, all indicating a patrilineal slant.;0;0;0;0;1;1
China;https://www.everyculture.com/Bo-Co/China.html;“Inheritance. The estate generally passes to the oldest son, although, especially in the case of wealthy and powerful men, most of their personal possessions traditionally were buried with them. The remaining property went to the oldest son. Since the communists came to power in 1949, women have been able to inherit property.;0;1;1;0;1;0
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;Inheritance. For many centuries, men and women have had equal inheritance rights. If one member of a couple dies, the other partner inherits all the possessions of the deceased. If both partners die, their children inherit equal shares of their possessions. There are also special circumstances such as wills, separate estates, joint property, and divided or undivided possession of an estate. Traditionally, the oldest son inherited the farm or the position as head of the family company after the death of the father. However, the son in this case has to compensate his mother and siblings economically. This tradition extends to the royal family, where the title of king traditionally has been passed from father to oldest son. Because King Frederik IX had no sons, the constitution was changed in 1953 to make it legal for his oldest daughter to inherit the throne.;1;1;1;1;1;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;Inheritance. Islamic law requires partible inheritance. The property of a dead person must be divided among the heirs, usually children and surviving spouse. Male heirs are favored over female heirs by receiving a share that is twice as large. Moreover, any group of heirs should include a male, even if that means tracking down a distant cousin. A person may not dispose of more than one-third of his or her estate by will, and may not even use this provision to favor one legal heir over another. In other words, a person cannot will this one-third to one son at the expense of another, but could will it to a charity or a nonrelative. Use of this provision is rare, as people accept the Islamic rules and prefer to keep property in the family. Arrangements among heirs, particularly brothers and sisters, however, may result in a different outcome. For instance, a father may set up his daughter in marriage in lieu of an eventual inheritance.;0;0;1;1;1;0
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;“Inheritance. Inheritance laws follow a fairly regular pattern. Before an elder passes away he or she orally states his or her wishes for the disposal of possessions. Children and living spouses are typically …the inheritors, but if an individual dies without a will, property is allotted by the court system to the closest living relatives and friends. Land, although not officially owned by individuals, is inheritable. Men are more privileged then females and usually receive the most prized properties and equipment, while women tend to inherit items associated with the domestic sphere.;1;0;0;1;1;0
France;https://www.everyculture.com/Cr-Ga/France.html;Inheritance. One of the major functions of the domestic unit is the transmission of property to children. Inheritance involves material and symbolic goods. Most property is held in the form of immovable goods such as buildings and land. Social inequalities are perpetuated through unequal access to inheritances among members of different families. Inheritance occurs not just at the death of the parents but at marriage or the setting up of a household for a young person, when loans or gifts are extended by parents. Inheritance also involves ‘cultural capital,’ including education, access to various lifestyles, and ways of speaking. Although the Napoleonic Civil Code established uniform regulation of inheritance and authority within the family and equal inheritance among siblings, there are regional variations in the application of the law.;1;1;1;0;0;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;“Inheritance. If there is no will after a person's death, the property is divided among all the children, including daughters, or among the closest relatives if there are no children.;0;1;1;1;0;1
India;https://www.everyculture.com/Ge-It/India.html;Inheritance. The written will is largely unknown except in modern urban areas. The tradition has always been that sons inherit property and status from their fathers and that daughters can hope to receive a dowry at the time of their marriage. However, there is much local and caste variation in precisely who inherits. In some groups, the oldest son inherits everything and then makes an accommodation for his younger brother and provides his sisters' dowries. In other groups, the brothers may inherit equal shares, except that the youngest brother inherits the house. Other patterns occur, but in general, although modern law states that daughters should inherit equally with their brothers, this almost never happens except in Islamic families.;1;1;0;1;1;0
