country;link;text;Islam;Priests;Prayers;Churches;Mosques;Multi religion;Single religion;Indigenous belief;Missionary influence;Pilgrimage traditions
Australia;https://www.everyculture.com/A-Bo/Australia.html;Religion. Religious Beliefs. The constitution guarantees religious freedom, and while there is no official national religion, Australia generally is described as a Christian country. British colonists brought the Anglican belief system in 1788, and three-quarters of the population continues to identify with some form of Christianity, predominantly the Catholic and Anglican faiths. Until recently almost all businesses closed for Christian religious holidays. Extensive immigration has made Australia one of the most religiously diverse societies in the world. Almost all faiths are represented, with significant numbers of Muslims, Buddhists, Jews, and Hindus. Many indigenous Australians have embraced Christianity, often as a result of their contact with missionaries and missions. Religious alternatives such as spiritualism and Theosophy have had a small but steady presence since the 1850s. A growing set of beliefs is represented by the so-called New Age movement, which arrived in the 1960s and evolved into the widespread alternative health and spirituality movement of the 1990s. This has opened the way for an interest in paganism and other aspects of the occult among a minority of citizens. Religious Practitioners. There has been an increase in lay religious practitioners in the Christian churches in recent times as a result of decrease in the number of people entering the clergy. Most religious institutions are hierarchical in structure. Religious specialists participate in pastoral care, parish administration, and fund-raising for missions. Many also maintain a host of institutions that deal with education, aged care, family services, immigration, health, youth, and prisoner rehabilitation. Rituals and Holy Places. Every religious denomination has its own places of worship, and most expect their followers to attend religious services regularly. There has been a decline in regular church attendance among the younger generation of Christians, who tend to be critical of church policy and practice. Places of worship are considered sacred and include locations that hold spiritual significance for believers. Among certain ethnic groups shrines are established in places where saints are said to have appeared. There are many Aboriginal sacred sites, which are generally places in the landscape. Death and the Afterlife. The law requires that deceased people be dealt with according to health regulations. A vigil over the body in the family home is practiced in some religious and cultural traditions. Funeral parlors prepare the body of the deceased for cremation or burial in a cemetery. Funerals are attended by family members and friends and often include a religious ceremony.;1;1;0;1;0;1;0;1;1;0
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;"Religion. Religious Beliefs. Brazil is the largest Catholic country in the world even though the percentage of Brazilians who belong to the Catholic Church has declined in recent years, down from 95 percent in the 1950s. Today about 73 percent of Brazilians identify themselves as Catholic but an unknown number are Catholics by tradition, not by faith. Although church and state are separate in Brazil and, by law, there is freedom of religious belief and expression, a close relationship exists between the Catholic Church and the state. Major Catholic holidays are public holidays and a priest (or bishop) always presides at the inauguration of public buildings. Also, church-based welfare and educational institutions, such as religious seminaries, receive financial support from the federal government. At various times in Brazilian history the Catholic Church has either strongly endorsed the state or vigorously challenged the status quo, as in the case of liberation theology, a late-twentieth century movement that provided religious justification for questioning the yawning gap between haves and have-nots in Brazil. Catholicism varies somewhat in rural and urban settings. What has been called ""folk Catholicism,"" which includes beliefs and practices long abandoned in cities, is observed by people in the interior of the country. Such popular Catholicism survives in pilgrimage centers in the backlands which attract thousands of Brazilians, often from great distances. The faithful take vows to make a pilgrimage to honor the saint who fulfills their requestâ€”recovery from illness or getting a job are examples. Sometimes the grateful supplicant offers the saint a carved likeness of the body part that has been cured. Brazilian Catholicism has always coexistedâ€” generally in relative harmonyâ€”with other religions including those of the nation's indigenous people, African religions brought to Brazil by slaves, European spiritism, and various Protestant denominations. CandomblÃ©, the best known and most traditional of Brazil's African-derived religions, is centered in the city of Salvador and traces its origin to the Yoruba and Dahomey religions of West Africa. In CandomblÃ©â€”a syncretic religion (one that combines elements of more than one religion) with both African and European elementsâ€”deities are called forth through the spirit possession of cult initiates. Despite police raids and other forms of social discrimination in years past, CandomblÃ© has persisted and flourished as a vibrant symbol of Afro-Brazilian cultural identity. Umbanda is another highly syncretic religion with spiritist elements that began in Rio de Janeiro in the late 1920s and spread to urban areas throughout the country. With some thirty million followers today, Umbanda has been called the one true national religion of Brazil because it embraces elements of all three of the nation's cultural traditions: African, European, and Indian. Spiritism, based on the teachings of French philosopher Alain Kardec and introduced to Brazil in the nineteenth century, is yet another spiritual movement with a growing following. Spiritism is more an intellectual endeavor than an emotional cry for salvation. Spiritists, most of whom are from the upper-middle-class and elite sectors of society, believe that humans are spirits trapped in bodies and that moral perfection is life's goal. The live and let live stance of Brazilian Catholicism towards other forms of religious belief and expression is absent in Brazilian Protestantism, especially in its fundamentalist variant. The so-called ""new Pentecostals"" view Afro-Brazilian religions and Umbanda as the work of the Devil and dramatically exorcize new converts to rid them of such evil. Pentecostal churches have enjoyed great success in recent years. In often highly emotional services, converts claim inspiration from the Holy Spirit, speak in tongues, and perform cures. Using radio and television, the sects target the poor and preach here-and-now self-improvement through individual initiative. One relatively new sect, the Igreja Universal (Universal Church), founded in Rio de Janeiro in the late 1970s, now has churches all over Brazil and throughout the world. A development in the Brazilian religious panoply at the end of the twentieth century was the growth of the Charismatic movement within the Catholic Church. With its strong emphasis on the power of the Holy Spirit to heal physical, emotional, and material distress; its rituals involving speaking in tongues; and its lively, emotive religious";0;1;0;1;0;1;0;1;0;1
China;https://www.everyculture.com/Bo-Co/China.html;"Religion. Relgious Beliefs. As a communist state, the country is officially atheist. Fifty-nine percent of the population has no religious affiliation. Twenty percent of the people practice traditional religions (Taoism and Confucianism), 12 percent consider themselves atheists, 6 percent are Buddhist, 2 percent are Muslim, and 1 percent are Christian. The teachings of Confucius are laid out in The Analects. It is a philosophy that stresses responsibility to community and obedience and deference to elders. Taoism, founded by Lao Tse Tsu, is more mystical and less pragmatic than Confucianism. The tao, which translates as ""the way,"" focuses on ideals of balance and order and often uses nature as a metaphor. It also includes elements of animism. Taoism, unlike Confucianism, rejects rank and class. Taoists shun aggression, competition, and ambition. Buddhism, which came to the country from India, is similar to Taoism in its rejection of striving and material goods. The goal of Buddhism is nirvana, a transcendence of the confines of mind and body. Confucianism, Taoism, and Buddhism are not mutually exclusive, and many people practice elements of all three in addition to worshiping various gods and goddesses, each of which is responsible for a different profession or other aspect of life. Luck is of supreme importance in popular belief, and there are many ways of bringing good fortune and avoiding badluck. A type of geomancy called fengshui involves manipulating one's surroundings in a propitious way. These techniques are used to determine everything from the placement of furniture in a room to the construction of skyscrapers. Many of the minority groups have their own religions. Some, such as the Dais in Yunnan and the Zhuangs in the southwest, practice animism. The Uighurs, Kazakhs, and Huis are Muslim. Tibetans follow their own unique form of Buddhism, called Tantric or Lamaistic Buddhism, which incorporates many traditions of the indigenous religion called bon, including prayer flags and prayer wheels and a mystical element. Despite the numerous Catholic and Protestant missionaries who arrived in the country beginning in the nineteenth century, Christianity has managed to gain few converts. Christians are mostly concentrated in big cities such as Beijing and Shanghai. Religious Practitioners. Confucianism and Taoism do not have central religious figures. In Buddhism, there are monks who devote their lives to prayer and meditation. Worship is usually not communal; the only group services are performed at funerals. The central figure in Tibetan Buddhism is the Dalai Lama, a name that translates as ""Ocean of Wisdom."" When one Dalai Lama dies, it is believed that he is then reincarnated, and it is the duty of the monks to search out his spirit in a newborn child. Today the position has political as well as religious significance. The current Dalai Lama lives in exile in India and pursues the cause of Tibetan independence. Rituals and Holy Places. Taoist temples are dominated by the roof, usually yellow or green, which is adorned with images of gods and dragons. The interior usually consists of a courtyard, a main hall with an altar where offerings are placed, and sometimes small shrines to various deities. Buddhist temples incorporate pagodas, a design which came from India around the first century C.E. (the time when the religion made its way to China). These temples also display statues of the Buddha, sometimes enormous sculptures in gold, jade, or stone. Worship generally takes the form of individual prayer or meditation. One form of spiritual practice that is very popular is physical exercise. There are three main traditions. Wushu, a self-defense technique known in the West as gong fu (or kung fu), combines aspects of boxing and weapon fighting. Shadow boxing, called taijiquan (or tai chi chuan), is a series of slow, graceful gestures combined with deep breathing. The exercises imitate the movements of animals, including the tiger, panther, snake, and crane. Qidong is a breathing technique that is intended to strengthen the body by controlling the qi, or life energy. These exercises are practiced by people of all ages and walks of life; large groups often gather in parks or other public spaces to perform the exercises together. Buddhist and Taoist temples hold special prayer gatherings to mark the full moon and the new moon. The largest festival of the year is the celebration of the new year or Spring Festival, whose date varies, falling between mid-January and mid-February. People clean their houses thoroughly to symbolize a new start, and children are given money in red envelopes for good luck. Activities include fireworks and parades with dancers dressed as lions and dragons. It is a time to honor one's ancestors. The birthday of Guanyin, the goddess of mercy, falls between late March and late April and is observed by visiting Taoist temples. The birthday of Mazu, the goddess of the sea (also known as Tianhou), is celebrated similarly. It falls in May or June. The Water-Splashing Festival is observed in Yunnan Province in mid-April. It involves symbolic bathing and water splashing that are supposed to wash away bad luck. The Zhuangs mark the end of the plowing season in the spring with a cattle-soul festival, which includes a sacrificial ceremony and offerings of food to the cattle. Moon Festival, or Mid-Autumn Festival, in September or October is celebrated with fireworks, paper lanterns, and moon gazing. The birthday of Confucius (28 September) is a time to make pilgrimages to his birthplace in Shandong Province. Death and the Afterlife. Funerals are traditionally large and elaborate. The higher the social standing of the deceased, the more possessions and people were buried with him or her to ensure entry into the next world. Traditionally, this included horses, carriages, wives, and slaves. Chinese mourners dress in white and wrap their heads in white cloths. Ancestor worship is an important part of the religion, and it is common Buddhist practice to have a small altar in the house dedicated to deceased family members. Tomb-Sweeping Day, or Qingming, on 5 April, is dedicated to visiting the burial place of one's ancestors and paying one's respects. Food is often placed on graves as an offering. Ghost Month (late August to late September) is a time when the spirits of the dead are thought to return to earth. It is not a propitious time for new beginnings, and anyone who dies during this period is not buried until the next month.";1;0;1;0;0;1;0;1;1;1
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;"Religion. Religious Beliefs. Religious freedom is consonant with international standards on the right to freedom of religion. Eighty-six percent of the population belongs to the Evangelical Lutheran Church, which has for centuries been supported by the state and is considered the national church. Numerous other Christian communities exist, including the Catholic Church, the Danish Baptist Church, and the Pentecostal Movement. Other world religions represented in the country are Islam, Judaism, Hinduism, Buddhism, the Baha'i faith, and Sikhism. Recently, religious groups celebrating old Viking gods have emerged. Religious Practitioners. The majority religion is Christianity, and at birth all Danes are considered to belong to the national church, with an obligation to pay church taxes as part of the income tax. Since the fifteenth century priests have been educated in a university, and ministers in the national church are officials under the Minister of Ecclesiastical Affairs. The official duties of religious leaders include performing church ceremonies for local members of the national church and keeping a register of births, marriages, and deaths. Many religious practitioners participate in worldly affairs as social workers or advocate for the underprivileged in public debates. Rituals and Holy Places. Churches are situated within and outside villages, towns, and cities and are surrounded by churchyards with cemeteries. In a Lutheran service, there is a minister, a cantor, a servant, and an organist. Members attend ritual events such as baptisms, confirmations, wedding ceremonies, and funerals and major religious events such as Christmas and Easter. Only a minority of people attend services regularly, and on weekdays churches are virtually empty. Death and the Afterlife. Danes are not great believers in God; therefore, practices concerning death, the deceased, funerals, and the afterlife are handled in a rational and practical manner. Dead persons are buried in coffins on the grounds of a church or are cremated and have their ashes buried in the graveyard. Graves are decorated with a gravestone with the deceased's name, dates, and greetings and are surrounded by greenery and flowers. After twenty years the grave is neglected unless family members pay for its care. Generally, religious practitioners are available to support the surviving relatives and talk about life, death, and the afterlife. Neoreligious communities have emerged in which people are guided to the other side to communicate with deceased family members and kin.";1;1;0;1;0;1;0;1;0;0
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;"Religion. Religious Beliefs. Egypt is a country of ""everyday piety."" The central belief in Islam is in the oneness of God, whose truths were revealed through the prophet Muhammad. The statement of this basic profession of faith is one of the five pillars of the religion. The other four are the Ramadan fast, the pilgrimage to Mecca, the five daily prayers, and the giving of alms. For many Muslims these five pillars sum up the belief system and indicate the practices. Egyptians frequently invoke the notion of God and his power. Any statement about the future, for instance, is likely to contain the injunction, ""God willing,"" showing that the ultimate determination of the intention is up to God. In Egypt, there are other possible elaborations. For some, who focus on God as all-powerful, religious practice involves seeking God's help in over-coming problems and seeking favorable outcomes, for instance, with regard to recovery from disease or misfortune. Around this notion has grown up a series of practices involving visits to shrines, often Also very common in Egypt are associations of mystics (Sufi brotherhoods). These male-dominated groups are under the leadership of a shaykh , or a hierarchy of shaykhs, devoted to helping their members attain a mystical experience of union with God. This mystical experience is often attained through collective rituals, proper to each order, called zikr. There are nearly one hundred officially recognized associations, plus numerous unrecognized ones, and they claim around six million members (about one third of the adult male population). Current mainstream practice in Egypt is to focus on the core beliefs of Islam, and to be concerned with learning the ""law"" of Islam, the particular details of everyday life that believing Muslims must follow to be in accord with God's will as interpreted by specialists. The authority here is the word of God as found in the Koran. The prayer leader (imam) can be anyone in religious good standing, although established mosques usually have a regular imam. The Friday sermon is said by a khatib, many of whom are trained in religious institutes. There have been debates over whether women can play these roles, especially that of a teacher of religion to women and girls. The two top religious leaders in Egyptian Islam are the Shaykh al-Azhar, who heads the religious bureaucracy, and the Grand Mufti, who offers authoritative interpretations of the Koran. The individuals in these posts have been known to take different positions on some issues. The two main Muslim religious holidays are the feast following Ramadan, the fasting month, and 'Id al-Adha, which corresponds to the Muslim pilgrimage to Mecca. The Ramadan holiday comes after a month of fasting and family visits and people usually just rest. The 'Id al-Adha celebrates Abraham's willingness to sacrifice his son, who then miraculously turned into a ram, so that most families try to sacrifice a ram on this day. Other religious holidays include Moulid an-Nabi, commemorating the birth of the prophet Muhammad, which is especially important for sufis; and Islamic New Year, the first day of the month of Moharram. In Islam, Friday is the day of the main congregational prayer, and marks a break in the workweek without being a ""day of rest"" in the formal sense. In contemporary Egypt, the two-day weekend is Friday and Saturday. The regular work and school week is thus Sunday through Thursday, although some also work on Saturday. Christians who work on this schedule attend church in the evenings, and make use of Friday for major gatherings. The Coptic Orthodox Church is the descendant of the churches associated with the early Christian Patriarchate of Alexandria. It is the main Christian church in Egypt. Its theology is monophysite, holding that in Jesus Christ there is only one nature, both human and divine. The Coptic church is headed by a patriarch and supported by bishops and parish priests. Monasticism is also central to the Coptic church, and the patriarch comes from the ranks of the monks rather than the priests. When a patriarch dies, his successor is chosen by lot (i.e., by God) from a small number of candidates who have survived a vetting process. The monasteries also serve as pilgrimage and retreat centers for Copts. Currently the Virgin Mary is revered, and many churches are dedicated to her. The two main Christian holidays are the Christmas season and the Easter season. Minor holidays include some that are extensions of these seasons such as 'Id al-Ghattas (Epiphany), the baptism of Christ, Palm Sunday, and some associated with the Virgin Mary (Ascension, in mid-August, is a main one). In most aspects of life apart from religion, Egyptian Muslims and Christians are indistinguishable. Everyday devotion is common among both, and many religious values are shared at a general level. The attentive observer can sometimes note marks of distinction: ""Islamic"" dress marks Muslim women; both men and women among Christians may have a cross tattooed on the inside of the right wrist; names are often but not always indicative. For most people, most of the time, the distinction is not relevant. But every so often there are individuals on one side or the other who stress the difference and claim or practice some form of discrimination or injustice. Such speech rarely leads to more violent action. Nonetheless, the boundary is maintained and both groups discourage or prohibit intermarriage and conversion. Muslims and Christians are not residentially segregated; instead, there are clusters of Christians scattered among a Muslim majority. In modern times, the presence of both Muslims and Christians has impeded the drive to define Egypt as a Muslim country and thus at least indirectly has favored secularism. Rituals and Holy Places. Rituals marking the different stages of life are also an important area of religious practice, and one that is largely shared by Muslims and Christians. Egyptians celebrate a naming ceremony normally one week after a baby's birth; this is a mixture of Islamic (or Coptic) and ""traditional"" elements, and is basically a family celebration to incorporate the newborn into the family. All boys are circumcised, generally as infants, and girls are usually also ""circumcised"" before they reach puberty. (Although the form of female genital mutilation varies, surveys suggest that about 97 percent of Egyptian females, both Christians and Muslims, are affected.) Marriage is a major focus of Egyptian culture. For Muslims it is considered a contract the signing of which is later followed by a family celebration; for Christians the sacrament takes place in a church, usually followed the same day by a family celebration. Death and the Afterlife. After a death, both Muslims and Christians try to bury the body the same day. Condolences are paid immediately, and again after forty days and after a year. The Islamic condolence sessions are often marked by Koran reading. Both Muslims and Christians believe in the soul, distinguishing it from other noncorporeal aspects of the person such as the double, the brother/sister, and the ghost. The ""soul"" exists before birth and after death, while some of the other aspects disappear with death or only appear at death.";1;1;1;1;1;1;0;0;0;1
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;"Religion. Religious Beliefs. There has been religious freedom for centuries in Ethiopia. The Ethiopian Orthodox Church is the oldest sub-Saharan African church, and the first mosque in Africa was built in the Tigre province. Christianity and Islam have coexisted peacefully for hundreds of years, and the Christian kings of Ethiopia gave Muhammad refuge during his persecution in southern Arabia, causing the Prophet to declare Ethiopia exempt from Muslim holy wars. It is not uncommon for Christians and Muslims to visit each other's house of worship to seek health or prosperity. The dominant religion has been Orthodox Christianity since King 'Ä’zÄ�nÄ� of Axum adopted Christianity in 333. It was the official religion during the reign of the monarchy and is currently the unofficial religion. Because of the spread of Islam in Africa, Ethiopian Orthodox Christianity was severed from the Christian world. This has led to many unique characteristics of the church, which is considered the most Judaic formal Christian church. The Ethiopian Orthodox Church lays claim to the original Ark of the Covenant, and replicas (called tabotat ) are housed in a central sanctuary in all churches; it is the tabot that consecrates a church. The Ethiopian Orthodox Church is the only established church that has rejected the doctrine of Pauline Christianity, which states that the Old Testament lost its binding force after the coming of Jesus. The Old Testament focus of the Ethiopian Orthodox Church includes dietary laws similar to the kosher tradition, circumcision after the eighth day of birth, and a Saturday sabbath. Judaism historically was a major religion, although the vast majority of Ethiopian Jews (called Beta Israel) reside in Israel today. The Beta Israel were politically powerful at certain times. Ethiopian Jews often were persecuted during the last few hundred years; that resulted in massive secret airlifts in 1984 and 1991 by the Israeli military. Islam has been a significant religion in Ethiopia since the eighth century but has been viewed as the religion of the ""outside"" by many Christians and scholars. Non-Muslims traditionally have interpreted Ethiopian Islam as hostile. This prejudice is a result of the dominance of Christianity. Polytheistic religions are found in the lowlands, which also have received Protestant missionaries. These Evangelical churches are fast growing, but Orthodox Christianity and Islam claim the adherence of 85 to 90 percent of the population. Religious Practitioners. The leader of the Ethiopian Orthodox Church is often referred to as the Patriarch or the Pope by Ethiopians. The Patriarch, a Copt himself, was traditionally sent from Egypt to lead the Ethiopian Orthodox Church. This tradition was abandoned in the 1950s when the Patriarch was chosen by Emperor Haile Selassie from within the Ethiopian Church. The tradition of the Patriarch being sent from Egypt began in the fourth century. The conversion of Emperor 'Ä’zÄ�nÄ� of Axum to Christianity was facilitated by a Syrian boy named Frumentious, who worked in the emperor's court. After Emperor 'Ä’zÄ�nÄ�'s conversion, Frumentious traveled to Egypt to consult the Coptic authorities about sending a Patriarch to head the Church. They concluded that Frumentious would best serve in that role and he was anointed 'Abba Salama (father of Peace) and became the first Patriarch of the Ethiopian Orthodox Church. Within the Orthodox Church there are several categories of clergy, including priests, deacons, monks, and lay-priests. It was estimated in the 1960s that between 10 and 20 percent of all adult Amhara and Tigrean men were priests. These figures are much less extraordinary when one considers that at that time there were 17,000 to 18,000 churches in the Amhara and Tigrean regions in the north-central highlands. Rituals and Holy Places. The majority of celebrations are religious in nature. The major Christian holidays include Christmas on 7 January, Epiphany (celebrating the baptism of Jesus) on 19 January, Good Friday and Easter (in late April), and Meskel (the finding of the true cross) on 17 September. Muslim holidays include Ramadan, Id Al Adha (Arafa) on 15 March, and the birthday of Muhammad on 14 June. During all religious holidays, adherents go to their respective places of worship. Many Christian holidays are also state holidays. Death and the Afterlife. Death is a part of daily life as famine, AIDS, and malaria take many lives. Three days of mourning for the dead is the norm. The dead are buried the day they die, and special";1;1;0;1;1;1;0;1;1;0
France;https://www.everyculture.com/Cr-Ga/France.html;"Religion. Religious Beliefs. France has been dominated by the influence of the Catholic Church, yet the constitution declares it to be a ""secular"" country. Secularism does not reject religion but attempts to bar any single religion from gaining political control. The minister of the interior is also the minister of religions, an office established to ensure the representation of various creeds. About 80 percent of the population is Roman Catholic. The second largest religion in terms of adherents is Islam. There are about a million Protestants; 700,000 Jews; and 200,000 Orthodox (Russian and Greek) Christians. There is also a significant Buddhist population. About 15 percent of the population claims the status of a nonbeliever. Religious practice has diminished during the last fifty years, and less than 10 percent of the population attends religious services. The dominance of Catholicism is historically linked to the conversion of Clovis in 496. In most of the country, communes began as parishes, and most rural villages see the local church building as a symbol of local identity. The church bell rings to mark deaths, wars, and weddings. French history is marked by religious struggles between Catholics and Protestants, especially during the wars of religion in the sixteenth century. Many Protestants fled during the seventeenth century, when their religious rights were rescinded by Louis XIV. The French Revolution in the eighteenth century was in part a reaction to the power and wealth of the Catholic Church. The 1905 law passed during the Third Republic officially separated church and state. The split between republicans, who supported a secular state, and antirepublicans, who were conservative and Catholic, was strong at the local level in Catholic regions such as Brittany during the turn of the century. Anti-Semitism is symbolized by the Dreyfus Affair, which was sparked at end of the nineteenth century by the false conviction for spying and imprisonment under a death sentence of a Jewish army officer. This divided republican and antirepublican factions across the nation. Anti-Semitism was prevalent during the Vichy regime and has resurfaced with the neofascist Front National. Folk religion varies by region. Witchcraft beliefs persist in some regions, such as the VendÃ©e. Many Catholic regions combine elements of folk religion and Catholicism in their belief systems. Religious Practitioners. Because of the strong influence of the Catholic Church, priests are the most important religious practitioners at the local level. France has a variety of religious practices. Immigrants bring new forms of both established and folk religious practices to urban areas. For Muslim immigrants in particular, religious practice is an important way to preserve one's identity in an assimilationist society. In rural areas, folk healers and diviners are consulted. New Age religions are thriving, and herbalists, massage healers, and other practitioners are growing in influence. Rituals and Holy Places. France was the site of many pilgrimages during the Middle Ages. Most regions have historic churches that are visited regularly on holy days, with processions leading to them. Lourdes is one of the best known pilgrimage sites in the world. Located in the Pyrenees region in the southwest, it is visited by five million people each year. In 1858, the Virgin Mary appeared to a young girl, Bernadette Soubirous, at the grotto in Lourdes. This miracle inspires handicapped and ill people to visit this site and take the waters, which are believed to have healing qualities. Lourdes has a Web site where one can hear the church bells and watch the visitors. Death and the Afterlife. The Judeo-Christian tradition dominates beliefs about the afterlife, with heaven and hell playing a major role in the cosmology. In traditional rural areas, there was a fatalist approach to death, and in many regions, such as Brittany, a ""cult"" of death â€” especially among older women. Funerals are important events, drawing from the entire community. The cemetery in France is a symbolic site of memory, often visited by older female relatives who tend to family plots. Young children often accompany grandmothers for walks through cemeteries.";1;1;0;1;0;1;0;1;0;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;"Religion. Religious Beliefs. The great majority of the population belongs to the Georgian Orthodox Church, an Eastern (Greek) Orthodox church. Confessional Rituals and Holy Places. The great majority of Orthodox religious ceremonies are carried out by priests in churches. The most important ceremonies, especially those celebrating Easter and Christmas, are carried out by the Patriarch in Svetitskhoveli Cathedral in the ancient town of Mtskheta, or in the Zion Cathedral in Tbilisi. Daily Death and the Afterlife. Many of popular beliefs and rituals regarding death and afterlife stem from a mixture of Christian and pagan concepts, with many superstitions and cultural borrowings. Respecting the deceased is a very important part of social life, and much time is spent attending funerals and wakes and caring for graves. Although people believe in an eternal afterlife, there is no clear understanding of its nature; people observe rules and try to reduce their grief by ritualizing the mourning process.";0;1;0;1;0;0;1;1;0;0
Germany;https://www.everyculture.com/Ge-It/Germany.html;Religion. Religious Beliefs. Germany was the homeland of the Protestant Reformation, but, in the politically fragmented Holy Roman Empire of the sixteenth century, many territories remained faithful to Roman Catholicism or reverted back to it, depending of the policy of the ruling house. Today, 34 percent of the population belongs to the Evangelical (Protestant) Church and a further 34 percent belongs to the Catholic Church. Many Germans have no religious affiliation. This is especially true of former East Germany, where, in 1989, the Evangelical Church had 4 million members (out of a total population of 16.5 million) and the Catholic Church had only 921,000 members. Since 1990, the Evangelical Church has lost even more members in the new federal states. The Evangelical Church is a unified Protestant church, which combines Lutherans, Reformed Protestants, and United Protestants. Reformed Protestants adhere to a form of Calvinism, while United Protestants combine aspects of Lutheranism and Calvinism. Other Protestant denominations make up only a small fraction of the population. Most German Catholics live in the Rhineland or in southern Germany, whereas Protestants dominate in northern and central parts of the country. In 1933, there were over 500,000 people of Jewish faith or Jewish heritage living within the boundaries of the German Reich. Between 1933 and 1945, German Jews, together with members of the far more numerous Jewish populations of eastern Europe, fell victim to the anti-Semitic and genocidal policies of the National Socialists. In 1997, there are an estimated sixty-seven thousand people of Jewish faith or heritage living in Germany. The largest Jewish congregations are in Frankfurt am Main and Berlin. In the postwar era, migratory workers or immigrants from North Africa and western Asia established Islamic communities upon arriving in Germany. In 1987, there were an estimated 1.7 million Muslims living in West Germany. Religious Practitioners. Religious practitioners in Germany include especially the Protestant or Catholic pfarrer (minister or priest). In local communities, the minister or priest belongs to the publicly acknowledged group of local notables, which also includes local governmental officials, school officials, and business leaders. Roman Catholic priests are, of course, local representatives of the international church hierarchy, which is centered in Rome. Protestant ministers represent Lutheran, Reformed, or United churches, which are organized at the level of the regional states. These state-level organizations belong, in turn, to the Evangelical Church of Germany. Rituals and Holy Places. From the smallest village to the largest city, the local church dominates the central area of nearly every German settlement. German churches are often impressive architectural structures, which bear witness to centuries of growth and renovation. In predominantly Catholic areas, such as the Rhineland, Bavaria, and parts of Baden-WÃ¼rttemberg, the areas surrounding the towns and villages are typically strewn with shrines and chapels. The processions to these shrines, which were common until the late nineteenth and early twentieth centuries, have now been largely discontinued. Despite processes of secularization, which had became intensive by the early nineteenth century, churches retained their importance in public life. Beginning in the 1840s, there was a popular movement to complete the Cologne cathedral, which was begun in the Middle Ages but which remained a construction site for 400 years. With the support of the residents of Cologne, the Catholic Church, and the King of Prussia (who was a Protestant), work on the cathedral was begun in 1842 and completed in 1880. The character of the ceremonies and festivals that accompanied this process indicate that the Cologne Cathedral served not only as a church but also as a national monument. Similarly, the national assembly of 1848, in which elected representatives met to draft a constitution for a united Germany, took place in St. Paul's Church in Frankfurt. (The national and constitutional movement failed when the Prussian king refused the imperial crown, which was offered to him by the representatives of the national assembly.) One of the centers of the popular movement that led to the fall of the GDR in 1989â€“1990 was the Nikolaikirche (St. Nicolas Church) in Leipzig. Since the late nineteenth century, churches and other historical buildings in Germany have become the objects of Denkmalpflege (cultural preservation), which may be understood as one aspect of a broader culture of historical commemoration. Together with museums, historical monuments constitute a new set of special sites, which may be approached only with a correspondingly respectful attitude. Graveyards and war memorials occupy a kind of middle ground between holy sites and historical monuments. All settlements in Germany have graveyards, which surviving family members visit on special holidays or on private anniversaries. War memorials from World War I are also ubiquitous. Monuments to World War II often have a very different character. For example, the concentration camp Buchenwald, near Weimar, has, since the early 1950s, served as a commemorative site, which is dedicated to the victims of the National Socialist regime. Death and the Afterlife. Nearly 70 percent of Germans are members of a Christian church, and many of these share common Christian beliefs in himmel (heaven) and hÃ¶lle (hell) as destinations of the soul after death. Many other Germans describe themselves as agnostics or atheists, in which case they view beliefs in an afterlife as either potentially misleading or false. Funerary rites involve either a church service or a civil ceremony, depending on the beliefs of the deceased and his or her survivors.;1;1;0;1;0;1;0;0;0;1
India;https://www.everyculture.com/Ge-It/India.html;Religion. Religious Beliefs. In the 1991 census, 82 percent of the population was enumerated as Hindu. However, 12 percent of Indians are Muslim, a fact that makes this one of the largest Islamic nations in the world. The next largest religious category is Christians, who make up only over 2 percent of the population and are closely followed in number by Sikhs. The only other groups of numerical significance are the Buddhists (less than 1 percent) and the Jains (less than half a percent). Rituals and Holy Places. The thousands of rituals and millions of shrines, temples, and other holy places of many faiths defy categorization here. For Hindus, large pilgrimage temples are the holiest centers, whereas for Muslims the tombs of saints ( pir ) are the most important. For Buddhists, many of them overseas visitors, the sites associated with the Buddha are crucial. Death and the Afterlife. While Muslims, Jews, and Christians pray that their individual souls will go to a paradise after death, Hindu ideas about the afterlife are very different. Muslims, Jews, and Christians bury their dead in cemeteries, as do most Zoroastrians today. However, Zoroastrians are Most Hindu communities have a fundamental belief in reincarnation. The basic idea is that one's soul can be reincarnated for an unknown number of rebirths and that what the soul is to be reincarnated into depends on the balance of one's sins and good deeds in past lives. This belief provides the justification for the inequities of the caste system: One is born into a particular caste, whether high or low, as a result of the accumulated virtues or sins of one's soul in a previous life. One can never hope to move out of one's caste in this life but may do so in the next reincarnation. Particularly evil individuals may be reincarnated as animals. Hindus normally cremate the dead on a pile of logs, but the very poor may resort to burial. Extremely saintly figures may be buried in a sitting position, as are members of the Lingayat sect.;1;0;1;0;0;1;0;1;0;1
