country;link;text;Federal;President;Prime Minister;Mayors; democratic
Australia;https://www.everyculture.com/A-Bo/Australia.html;"Government. Australia is a parliamentary democracy based on the British system of government. Federal, state, and territorial elections are held every three or four years. Voting is compulsory at the federal and state levels but not at the local government level. There are two houses of the federal and state parliaments except in Queensland, the Northern Territory, and the Australian Capital Territory.
Core features of the political party system derive from early twentieth-century arrangements that followed the federation of the states into a commonwealth. There are two major political parties: the Australian Labor Party (ALP) and the Liberal Party. The National Party (formerly the Country Party) allies itself with the conservative Liberal Party. The other large political parties are the Australian Democrats and the Green Party.
Since federation, the constitution has been changed only reluctantly through referenda. In 1999 there was a vote rejecting the proposition that Australia become a republic, ceasing to have an office of governor-general as a representative of the British monarch and thus as the titular head of state. Some argue that the society is already a de facto republic since the constitution has entrenched the primacy of popular sovereignty. The British Union Jack on the flag is for some people an acknowledgment of historical ties with Britain, while for others it is a reason to change the constitution to emphasize the independence of the nation.Leadership and Political Officials. There are three levels of government leadership: the prime minister in the federal government, the state premiers, and the mayors in local government. All officials are elected democratically. At the federal level the governor-general is appointed by the government, as are governors at the state level. Federal and state/territorial governments operate through departments that are organized bureaucratically.and hierarchically. High-ranking officials are important in the administration of policies and laws.

Social Problems and Control. In the legal system authority is divided between states and territories and the commonwealth. The judicial system is based on the common law of England. The criminal justice system consists of the state and commonwealth agencies and departments responsible for dealing with crime and related issues. The federal criminal justice system deals with offenses against commonwealth laws, and the state systems deal with offenses against state laws. Criminal law is administered mainly through the commonwealth, state, and territorial police forces; the National Crime Authority; and the state and territorial corrective or penal services. Crimes such as stealing are more common than crimes against individuals, such as assault.";1;0;1;1;1
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;"Government. The Federal Constitution of Brazil provides for three independent governing branches: executive, legislative, and judicial. Although the constitution has undergone several revisions in the last century, the most recent in 1988, it has always retained this division of governmental powers.
Voting in Brazil today is universal and compulsory for all literate citizens from eighteen to seventy years of age and optional for those who cannot read and write.
Leadership and Political Officials. Brazil's return to free elections in the mid-1980s after two decades of military dictatorship has not resulted in greater social and legal equity, and unequal treatment of rich and poor is ongoing. Government officials and well-to-do individuals who have committed crimes still are more likely to escape the long arm of the law than are those of lesser social status. In part, this is because Brazil is a country in which laws and regulations are passed, yet a significant proportion of them are ignored. Still, today there is growing intolerance of political corruption and a host of official inquiries are evidence that Brazilians are starting to reject impunity and demand accountability of their public officials.
One concept is key to understanding Brazilian political culture: jeitos, ways of cutting through obstacles—such as rules and red tape—to achieve a desired end. Jeitos are partly a response to Brazil's notorious bureaucratic thicket which makes getting a government document—be it a driver's license, passport, or marriage license—a cumbersome process. Those who can afford to hire despachantes (dispatchers), professional facilitators who know how to ""do jeitos"", to get things done. Others do jeitos on their own; perhaps a small ""gratuity"" to a low-paid government clerk will produce the desired document.
A personalistic system of patron-client relationships is another key to the nation's political culture. One becomes a government bureaucrat or politician and rises through the ranks by developing influential connections and getting help from personal networks. Ambitious individuals cultivate powerful patrons who promote and protect them, and their own career trajectories typically rise and fall with those of their patrons.
Social Problems and Control. Given the nation's stark economic inequalities, social control in Brazil has long been problematic, even more so at the end of the twentieth century than in the past. High rates of crime, particularly in large urban areas, are a frequent topic of conversation; kidnappings, assaults, and murder receive wide media coverage. The murder rate in greater São Paulo, for example, is some five times that of the New York metropolitan area. Killings by police are common particularly in poorer urban areas. Fearful for their security, corporate executives travel around in armored cars; elite neighborhoods are fortified as private, guarded condominiums surrounded by high walls. Also within this urban landscape of have and have-nots live tens of thousands of street children, eking out a bare existence, ever on their guard against being rousted, or worse, by the police.";1;0;0;0;1
China;https://www.everyculture.com/Bo-Co/China.html;"Government. China is a communist state. The president is the chief of state and is elected by the National People's Congress (NPC) for a five-year term. However, the president defers to the decisions and leadership of the NPC. The NPC is responsible for writing laws and policy, delegating authority, and supervising other parts of the government. The highest level in the executive branch of the government is the State Council, which is composed of a premier, a vice premier, councillors, and various ministers. The State Council handles issues of internal politics, defense, economy, culture, and education. Its members are appointed and can be removed by the president's decree.
The country is divided into twenty-three provinces, five autonomous regions, and four municipalities. (Taiwan is considered the twenty-third province.) At the local level, elected deputies serve in a local people's congress, a smaller-scale version of the national body, which is responsible for governing within the region and reports to the State Council.
Leadership and Political Officials. The Chinese Communist Party (CCP) is in effect the only political party. Eight registered small parties are controlled by the CCP. There are no substantial opposition groups, but there are two—the Falun Gong sect and the China Democracy Party—that the government sees as potential threats. The Falun Gong in particular has received international attention because of the government's attempts to suppress it. The organization claims that it is a meditation group based on Buddhist and Taoist philosophies; the government considers it a cult that threatens public order and the state. The government has sent hundreds of Falun Gong members to labor camps and has imprisoned many of its leaders. The group is legal in Hong Kong.
";0;1;0;0;0
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;"Government. Denmark is a constitutional monarchy in which succession to the throne is hereditary and the ruling monarch must be a member of the national church. The parliament has 179 members, including two from Greenland and two from the Faroe Islands. Members of parliament are elected for four-year terms, but the state minister has the right to dissolve the parliament and force an election. The voting age has been eighteen since 1978. Since 1989, immigrants without Danish nationality have been allowed to vote and be elected in local elections. The minimum percentage of votes required for representation in the parliament is 2 percent.
Leadership and Political Officials. The first political groupings appeared in 1848, shortly before the first constitution was promulgated, and consisted of liberals (farmers), the center (intellectuals), and the right (landowners and higher officials).
Party policy is based on political principles and working programs; the former include fundamental political ideas, while the programs are action-oriented. Currently, ten political parties are represented in the parliament, ranging from socialist to conservative to liberal. Representatives to parliament are elected in local areas and thus represent their home localities as well as a political party.
Liberal parties traditionally strive for individual freedom, including freedom of thought, belief, speech, expression, individual choice, and ownership, and attempt to strengthen the rights of the individual citizen in relation to the state. Conservatives stress individual freedom, choice, and responsibility and attempt to protect the national culture and tradition. Modern conservatism includes confidence in the individual, an open and critical outlook, tolerance, and a free market economy, combined with a commitment to social security. Social Democrats favor a welfare society based on freedom, equal opportunity, equality, dignity, solidarity, cultural freedom and diversity, ecology, and democracy. Socialist parties seek a society based on political, social, and cultural diversity; ecological sustainability; social security; equal opportunity; responsibility for the weak; individual freedom; self-realization; active work for peace and disarmament; and a commitment to end global inequality. The Christian People's Party favors a democracy based on Christian ethical values, focused on individual freedom, social responsibility and security, the family, and medical ethics. For this party, a Christian view of human nature forms the basis for equal human value regardless of race, sex, age, abilities, culture, and religion. Social Problems and Control. Executive power lies with the monarch, while legislative power is based in the parliament. In executive matters, the monarch exercises authority through government ministers. Judicial power lies with the courts of justice. The most common crimes are offenses against property, offenses against special laws in some municipalities, crimes of violence, and sexual offenses.
The police force consists of approximately 10,000 officers, who work at police stations located in local communities. Traditionally, Danish police have been known for their easy-going manner and ""gentle"" approach to difficult situations, relying more on dialogue and communication than on brute force. After years of becoming more centralized and distanced from the Danish people, there is now a trend in policing that involves forming new, smaller police stations in more towns and cities. In this new environment, officers are moving out of their cars and walking the streets, gaining closer contact with the people.
In criminal cases, those over the age of 15 may be punished by the courts. Those between 15 and 18 are held in special youth prisons that provide social training. Those above the age of 18 are imprisoned in one of the country's 14 state prisons. Due to a lack of prison space, convicted criminals sometimes wait for up to two years before they are actually imprisoned.";0;0;1;0;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;"Government. Georgia is a presidential republic. The president is also the head of the executive branch, although the ministers are formally headed by the state minister. The single-chamber (225 members strong) parliament is elected in a mixed majoritarian-proportional system. The last parliamentary elections were won by the president's Citizens' Union of Georgia. The other two parties in the parliament are the Union of Industrialists and the Union of Georgia's Revival. The judicial branch, which was weak in the communist era, is in the process of being reformed. Local governments are partly elected and partly appointed from Tbilisi and have little formal power and small budgets. Depending on personal authority and local conditions, they may be fairly independent in their policies.
Leadership and Political Officials. Political parties, apart from the Union of Georgia's Revival, have little unity and lack well-defined political agendas. They mostly serve as instruments for pursuing a political career. Most parties tend to be social-democratic or moderately nationalistic. Personalities and personal connections play a decisive role in a political career, and the need to balance political issues and personal loyalty makes personnel appointments far from meritocractic. Many politicians are involved in economic activities, and this often creates conflicts of interest.Social Problems and Control. Since the increase in crime during the civil wars and turmoil of the early 1990s, there has been a significant reduction in law violations and major crimes such as murder and burglary. The most socially dangerous crime is drug trafficking, which has increased the number of young drug addicts. Organized crime is another important concern. Corruption and incompetence in overstaffed law enforcement bodies along with a weak judiciary system have made it difficult to fight crime. The general public is dissatisfied with the existing situation and with the system of law. Sometimes, especially in rural areas with a strong tradition of customary law, the community itself or a victim's relatives will take the law into their own hands and punish the perpetrator of a particularly shocking crime.";0;1;1;0;1
Germany;https://www.everyculture.com/Ge-It/Germany.html;"Government. Germany is a parliamentary democracy, where public authority is divided among federal, state, and local levels of government. In federal elections held every four years, all citizens who are eighteen years of age or older are entitled to cast votes for candidates and parties, which form the Bundestag, or parliament, on the basis of vote distribution. The majority party or coalition then elects the head of the government—the Kanzler (chancellor)—who appoints the heads of the various government departments. Similarly, states and local communities elect parliaments or councils and executives to govern in their constitutionally guaranteed spheres. Each state government appoints three to five representatives to serve on the Bundesrat, or federal council, an upper house that must approve all legislation affecting the states.
Leadership and Political Officials. Germany's most important political parties are the Christian Democratic Union and its Bavarian sister party, the Christian Social Union; the Social Democratic Party; the Free Democratic or Liberal Party; The Greens; and the Party of Democratic Socialism, the successor to the East German Socialist Unity Party. In 1993, the Greens merged with a party that originated in the East German citizens' movement, called Alliance 90. Since the late 1980s, various right-wing parties have occasionally received enough votes (at least 5 percent of the total) to gain seats in some of the regional parliaments. The growth of right wing parties is a result of political agitation, economic difficulties, and public concern over the increasing rate of immigration. The first free all-German national election since 1932 was held on 2 December 1990 and resulted in the confirmation of the ruling Christian Democratic/Free Democratic coalition, headed by Helmut Kohl, who was first elected in 1982. The Christian Democrats won again in 1994, but in the election of 1998, they were ousted by the Social Democrats, who formed a coalition government with Alliance 90 (the Greens). Like his then counterparts in the United States and Great Britain, Gerhard Schröder, the chancellor elected in 1998, described himself as the champion of the new political ""middle.""
Social Problems and Control. In the Federal Republic of Germany, police forces are authorized by the Departments of Interior of the sixteen federal states. Their activities are supplemented by the Bundesgrenzschutz (Federal Border Police) and the Bundesamt für Verfassungsschutz (Federal Office for the Protection of the Constitution). In the early twenty-first century, organized crime and violence by right-wing groups constituted the most serious domestic dangers.";1;0;0;0;1
India;https://www.everyculture.com/Ge-It/India.html;"Government. The national system of government is a liberal democratic federal republic, making India the largest democracy in the world. The country is divided for administrative purposes into twenty–eight linguistically–based states, plus a further seven small ""Union Territories"" administered directly by the central government in New Delhi, the national capital.
Leadership and Political Officials. The central parliament in New Delhi consists of the House of the People ( Lok Sabha ) and the Council of States ( Rajya Sabha ).
The states all have legislative assemblies ( Vidhan sabha ) and legislative councils ( Vidhan parishad ). Members of parliament and the state legislatures are selected in democratic elections. An exception to this procedure is that the Lok Sabha has two seats reserved for Anglo-Indian members, and of the 4,072 seats in all the state legislative assemblies, 557 have been reserved for candidates from the Scheduled Castes and a further 527 for candidates from the Scheduled Tribes. These provisions have ensured that the main minority populations have legislative representation and an interest in pursuing the electoral process. The Lok Sabha recently had sitting members from twenty one different parties. State legislatures also host a multiplicity of political parties.
The head of state is the president, and there is also a vice-president, neither elected by general franchise but instead by an electoral college. The president is aided by a council of ministers, and appoints the prime minister of each government. This prime minister is the leader of the dominant party or of a coalition of prominent parties and has been elected as a member of parliament. The president has the power to dissolve a government and order new elections or to dismiss a problematic state government and declare ""president's rule.""

Social Problems and Control. Indians have lived under the rule of law since ancient times. Hindu law was codified over two thousand years ago in the books called Dharmasastras. There is now one legal hierarchy throughout the land, with the Supreme Court at its head. Legal procedure is based on the Indian Penal Code (IPC) which was drafted in the mid-nineteenth century, and the Code of Criminal Procedure of 1973. The constitution promulgated in 1950 went further than any other South Asian country has gone in curtailing the influence of traditional legal systems that in practice applied only to the followers of a particular religion, whether Hindu, Buddhist, Muslim, Christian, Jewish, or Parsi.
The huge legal profession helps push cases slowly through the complex apparatus of magistrates' and higher-level courts, sometimes creating the impression that litigation is a national sport. While fines and imprisonment are the most common punishments, the Supreme Court has upheld the legality of the death penalty.";1;1;1;0;1
Iran;https://www.everyculture.com/Ge-It/Iran.html;"Government. Iran has made the transition in the last twenty years from a nominal constitutional monarchy to a democratic theocracy. As the United States has checks and balances in its governmental system, so does Iran. There is a strong president elected for a four-year term, and a unicameral legislature ( majles ) of 270 members, elected directly by the people, with some slots reserved for recognized minorities. The position of speaker is politically important, since there is no prime minister. Suffrage is universal, and the voting age is sixteen. The president selects a Council of Ministers, an Expediency Council, and serves as the head of the Council of National Security.Over and above these elected bodies there is a supreme jurisprudent selected by an independent Assembly of Experts—a council of religious judges. The office of chief jursiprudent ( faqih ) was created for Ayatollah Ruhollah Khomeini at the time of the Revolution. It was designed to implement a controversial philosophy unique to Khomeini's teachings—a ""guardianship"" to be implemented until the day of return of the twelfth Shi'a Imam, Muhammad al-Mahdi, who is in occultation (being hidden from view). Alongside the chief jurisprudent is a twelve-member Council of Guardians, six selected by the chief jurisprudent, and six by the Supreme Judicial Council ratified by the majles. The Council of Guardians rules on the Islamic suitability of both elected officials and the laws they pass. They can disqualify candidates for election both before and after they are elected. Another council mediates between the Council of Guardians and the legislature. The judiciary consists of a Supreme Judge and a Supreme Judicial Council. All members must be Shi'a Muslim jurisprudents. Islamic Shari'a law is the foundation for the court's decisions. Freedom of the press and assembly are constitutionally guaranteed so long as such activities do not contradict Islamic law.The units of governmental division are the province ( ostan ), ""county"" ( sharestan ), and township ( dehestan ). Each governmental unit has a head appointed by the Ministry of the Interior.";0;1;0;0;1
Italy;https://www.everyculture.com/Ge-It/Italy.html;"Government. Italy is a republic with twenty regions under the central government. In 1861, the Italian states were unified under a monarch. The republic was formed on 2 June 1946 and on 1 January 1948, the republic's constitution was proclaimed. There are three branches of government: executive, judicial, and legislative. The legal system is a combination of civil and ecclesiastical law. The system treats appeals as new trials. There is a Constitutional Court that has the power of judicial review. A chief of state (the president) and a head of government (the prime minister) head the executive branch. There have been numerous changes of government since the end of World War II. There are two houses in the parliament: the Senate and the Chamber of Deputies. Both houses have elected and appointed members chosen through a complicated system of proportional representation and appointed. Voters must be 25 years old to vote for senators but only 18 in all other elections.
Leadership and Political Officials. Italy has been plagued with too many political parties and, in some sense, every Italian is his or her own political party. Recent reforms have not ended the problem. New parties have grown from combinations or alliances of a number of parties. The major parties are Olive Tree, Freedom Pole, Northern League, Communism Refoundation, Italian Social Movement, Pannella–Sgarbi's List, Italian Socialist, Autonomous List, and Southern Tyrol's List. The Olive Tree is the party of the democrat left. The Freedom Pole is the party of the right to center. Other parties occupy various positions on the political spectrum. There are certain rules of respect toward those in power. Presents are usually given, and support is promised in return. People approach those in power through intermediaries. Social Problems and Control. Italians resent intrusions into private and family life. They have had centuries of practice in evading what they consider unjust laws. The major crime problem comes from the Mafia. Special courts and task forces have made some headway against the Mafia. Scandals linking politicians and judges to the Mafia have led to greater action in seeking its extermination. Street crime, such as robbery, is prevalent in the larger cities, and murder is a serious problem, with about one thousand five hundred per year, and an additional two thousand attempted murders per annum. The national police are found throughout the country. The judicial system operates on an inquisitorial system. There is no presumption of innocence, and judges routinely question defendants. The Catholic Church, family, and friends serve as strong informal social controls.";0;1;1;0;1
Japan;https://www.everyculture.com/Ja-Ma/Japan.html;"Government. Japan has been a constitutional monarchy since the Meiji constitution of 1890. In 1947, a new constitution was drafted by advisers to the Allied occupation forces and adopted by the parliament. This constitution guarantees equality of the sexes, extends suffrage to all adult citizens, underscores the emperor's postwar renunciation of claims to divine status, and assigns the emperor a symbolic role as head of state.
Japan's parliament, known as the Diet, consists of the House of Councilors and the House of Representatives. Upper House members are elected from national and local constituencies; Lower House member are elected from local constituencies. The political power of the Lower House is much greater than that of the Upper House; prime ministers are elected from the Lower House, and most cabinet positions are also filled from the membership of that chamber.
At the local level, each prefecture has an elected governor and an elected assembly. Prefectures have limited authority over taxation and legal codes and act primarily as agents of the national government. Cities, towns, and villages have elected chief executives and assemblies. Municipalities also have limited autonomous powers and are primarily providers of daily services. Education, police, and fire protection are organized around municipal units but are controlled or standardized at the national level.

Administratively, the country is divided into forty-seven prefectures that vary in terms of their political structures. There are forty-three ordinary prefectures, three metropolitan prefectures with special administrative powers, and one administrative region for the northernmost island. Lower levels of local government and administration include counties and municipalities that are classified by population size: cities, towns, and villages.
Leadership and Political Officials. Throughout most of the postwar period, the Liberal Democratic Party (LDP), a conservative party with close ties to business and the national bureaucracy, dominated national politics. The LDP was in effect a coalition among leaders of semiautonomous factions, and its hallmark was intricate compromises and backroom deals. In 1993, the LDP split apart, and many of its factions have become independent political parties.
At the national level, government ministries wield enormous power. Since the late nineteenth century, the elite levels of the national bureaucracy have been accorded enormous respect. In many areas, ministries set policy and politicians ratify the opinions of the bureaucrats. The prestige and respect accorded to government ministries have plunged since the 1980s in response to the economic downturn and widely publicized incidents of corruption and incompetence.";0;0;1;1;1
