country;link;text;Inequality in payment;Women Household ;Women work in public;Change in gender role
Australia;https://www.everyculture.com/A-Bo/Australia.html;"Division of Labor by Gender. British ideas and practices involving gender were imported with colonization. Women tend to be associated with the private sphere, unpaid work, and the home, while men tend to be associated with the public sphere, paid work, and the larger society. This division was particularly pronounced in the early years of settlement, when free settler women were seen as homemakers who brought civility to the male population. Migrant women have been valued for their ability to create settled families and generally have entered the country as dependents. Traditionally, occupation has been sex-segregated, with women predominating as domestics and in the ""caring professions,"" such as teaching and nursing. However, sex discrimination and affirmative action policy since the late 1970s has been directed toward promoting gender equality in all spheres. As a consequence, there have been increases in women's participation in secondary and higher education as well as in the general workforce and an increase in the availability of child care. The Relative Status of Women and Men. Many areas of social, economic, political, and religious life remain gendered, generally to the disadvantage of women. Women are underrepresented in scientific occupations, managerial positions, and the professions and overrepresented in administrative and clerical positions. Women earn on average less than men do and spend more time than men doing unpaid domestic work. Women's right to vote in federal elections was included in the constitution of 1901. Nevertheless, the progress of women in entering public office was";1;1;1;1
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;"Division of Labor by Gender. Gender roles in Brazil vary to some extent by social class, race, and place of residence. White, middle-class and elite women living in large urban centers generally have more occupational choices and greater behavioral flexibility than their poorer, darker, rural sisters. Nevertheless, even when women are employed, men are seen as the primary providers of the family, with women's monetary contributions viewed as supplementary. Moreover, whether employed outside the home or not, women remain responsible for the proper functioning of the domestic sphere, with or without the aid of domestic servants. Today almost 40 percent of Brazilian women have jobs outside the home, although they hold only 2 percent of executive-level positions. And while the number of women in industry has more than tripled since 1970, they are primarily employed in low-skill, low-paying jobs in textiles and electronics. Poor women, especially those in the 20 percent of households with no permanently resident male, take whatever work they can get. Afro-Brazilian women are particularly disadvantaged in this regard; about 70 percent are employed in low-level agricultural, factory, and domestic service jobs. The Relative Status of Women and Men. The mostly male Portuguese colonizers of Brazil brought with them the concept of machismo, which identifies men with authority and strength and women with weakness and subservience. Still, machismo is tempered in Brazil. It lacks the sharp-edged stress on heterosexuality and obsessive dread of homosexuality that characterizes it in other Latin societies. Nevertheless, this world view, combined with the patriarchy of the Catholic Church, laid the foundation for male dominance. As in most of Latin America, Brazil has a double standard in sexual matters. Traditionally, at least, men were expected to demonstrate their virility through premarital and extramarital sexual escapades, while women were supposed to ""save themselves"" for their husbands and remain faithful after marriage. So-called ""crimes of passion"" are linked to this dual sexual standard. In the pastâ€”and occasionally even in modern timesâ€”men who killed their wives believing them to be unfaithful often went unpunished. Women have been slow to receive legal equality in Brazil. They were not given the vote until 1932 and, until the 1960s, women were the equivalent of children under Brazilian law. They needed permission from their fathers or husbands to leave the country and could not open bank accounts on their own. A women's rights movement emerged fairly late compared to that in the United States and has just started influencing legislation and the political process at the onset of the twenty-first century. While it has had some success, for example, in setting up special police stations for abused women, abortion is still illegal, although widespread. Moreover, the emphasis on youth and beauty as a measure of female worth remains unchanged and it is no coincidence that Brazilian plastic surgeons enjoy international renown.";1;1;1;1
China;https://www.everyculture.com/Bo-Co/China.html;Division of Labor by Gender. Before the twentieth century, women were confined to the domestic realm, while men dominated all other aspects of society. The only exception was agriculture, where women's work had a somewhat wider definition. Western influence began to infiltrate the country in The Relative Status of Women and Men. Confucian values place women as strictly subordinate to men, and this was reflected in traditional society. Women had no rights and were treated as possessions, first of their father's and later of their husband's. The practice of foot binding was symbolic of the strictures women faced in all aspects of life. From the age of seven, girls had their feet wrapped tightly, stunting their growth and virtually crippling them in the name of beauty. This practice was not outlawed until 1901. The procedure was inflicted mainly on upper-class and middle-class women, as peasant women needed full use of their feet to work in the fields. The rejection of many traditional values early in the twentieth century resulted in increasing equality and freedom for women. The Western presence in the nineteenth century also had an influence. Raising the status of women was a priority in the founding of the modern state. Women played an important role in the Long March and the communist struggle against the Kuomintang, and under Mao they were given legal equality to men in the home and the workplace as well as in laws governing marriage, divorce, and inheritance. Despite these legal measures, women still face significant obstacles, including spousal abuse and the practice of selling women and young girls as brides.;0;1;1;1
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;Division of Labor by Gender. Denmark has the highest percentage of women in the labor market in Europe, with close to 80 percent of women being employed. Since the 1980s, the country has had a public policy of equality of men and women in regard to wages and working conditions, yet men are more likely to get top positions and in general earn higher wages than women. Persistent beliefs associate women with the family and men with work. These practices are enforced by employers who encourage single women and married men to pursue careers. The Relative Status of Women and Men. Since 1924 there have been women in the government, and the representation of women in politics has grown significantly. Today nine of twenty ministers are women. However, state ministers have always been men. The Equal Status Council was founded in 1974 and closed in 2000, when a new equal status law was issued.;1;1;1;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;"Division of Labor by Gender. Household work and child rearing are almost exclusively women's responsibility. Women also contribute significantly to productive work outside the home, especially in cities. But since the majority of women work in the informal sector, the size of their contribution is often underestimated. In rural areas, women work in the fields in most regions. In addition, women's household responsibilities in villages involve many productive and profitable activities, although they are not generally recognized as ""work."" These activities include caring for animals and processing dairy products. Women may also take part in some stages of preparing crops for market. The Relative Status of Women and Men. In general, men and women have equal legal rights. But equality is not determined only by law. For example, the principle of equal pay applies only in the formal sector. Women working in the informal sector are often paid less than men. Women do not have the same legal rights as men in the domain of personal status (marriage, divorce, child custody). Only Egyptian men have the right to pass on Egyptian nationality to their children. Various feminist and human rights groups, however, are active in promoting legal change in areas of discrimination against women. At home men have more power than women, and are supposed to make the major decisions. Nevertheless, women have much influence and informal power.";1;1;1;1
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;Division of Labor by Gender. Traditionally, labor has been divided by gender, with authority given to the senior male in a household. Men are responsible for plowing, harvesting, the trading of goods, the slaughtering of animals, herding, the building of houses, and the cutting of wood. Women are responsible for the domestic sphere and help the men with some activities on the farm. Women are in charge of cooking, brewing beer, cutting hops, buying and selling spices, making butter, collecting and carrying wood, and carrying water. The gender division in urban areas is less pronounced than it is in the countryside. Many women work outside of the home, and there tends to be a greater awareness of gender inequality. Women in urban areas are still responsible, with or without a career, for the domestic space. Employment at a baseline level is fairly equivalent, but men tend to be promoted much faster and more often. The Relative Status of Women and Men. Gender inequality is still prevalent. Men often spend their free time socializing outside the home, while women take care of the household. If a man participates in domestic activities such as cooking and child rearing, he may become a social outcast. The education of boys is stressed more than that of girls, who are supposed to help with household work. Girls are restricted from leaving the home and engaging in social activities with friends much more than boys are.;1;1;1;1
France;https://www.everyculture.com/Cr-Ga/France.html;Division of Labor by Gender. Peasant households traditionally had a strict gender division of labor The Relative Status of Women and Men. The Napoleonic Code of 1803 denied power to women in marriage, and women did not gain the right to vote until 1944. Only in the 1960s did wives gain the right to open bank accounts or work without the husband's permission. The Badinter Law of 1985 established equal rights for women in marriage. The feminist movement has slowly made advances but continues to struggle. The degree to which farm women have lower status than males is a subject of debate. Economic and cultural factors influence the power of women at the level of the family and community.;0;1;1;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;Division of Labor by Gender. There is no explicit division of labor by gender except in the areas of hard physical labor such as mining. The national culture places women in both the role of breadwinner and housewife. Most urban women work when they have the opportunity, although few have positions in the military and law enforcement. Top-level political and business jobs are less accessible for women, and only a few are in the government. No women can become a priest in the Orthodox church or a mullah among Muslims. The Relative Status of Women and Men. The national culture strongly values respect for women. Legislation provides for a woman's right to take the children after a divorce. Women receive pregnancy leaves and earlier retirements and are not subject to military conscription. Although men dominate both public and family life, most housework is done by women. With many young educated women getting better paid jobs than their fathers or husbands, traditional stereotypes of gender-defined social roles are changing.;0;1;1;1
Germany;https://www.everyculture.com/Ge-It/Germany.html;"Division of Labor by Gender. With the transition from agricultural to industrial society in the late nineteenth and early twentieth century, women, who had been largely restricted to the domestic sphere, began to gain access to a wider range of economic roles. More than a century after this process began, women are represented all walks of life. Nevertheless, they are still more likely to be responsible for childcare and household management; and they are disproportionately represented among teachers, nurses, office workers, retail clerks, hair dressers, and building and window cleaners. The Relative Status of Women and Men. The Basic Law of the Federal Republic of Germany states that men and women have equal rights under the law. Nevertheless, women did not enjoy juridical equality in marriage and the family until new family legislation was passed in 1977. Previously, family law, which had been influenced by the religious orientation of the Christian Democratic and Christian Social parties, had stated that women could seek outside employment only if this were consistent with their household duties. East German law had granted women equal rights in marriage, in the family, and in the workplace at a much earlier date. Needless to say, in both the Federal Republic and in the former GDR, the ideal of equality of opportunity for men and women was imperfectly realized. Even under conditions of full employment in East Germany, for example, women were under represented in leading positions in government, industry, and agricultural production.";0;1;1;1
India;https://www.everyculture.com/Ge-It/India.html;"Division of Labor by Gender. Gender provides the basis for a fundamental division of the work force, with perhaps only the lowest day-labor jobs and the most modern professions being regularly staffed by people of both genders. The Relative Status of Women and Men. ""Patriarchal"" is the word most commonly used to describe the traditional Indian family and the gender relationships within it. This is true in all family systems except the defunct matrilineal system of the Nayar castes in Kerala. Within all branches of Hinduism, priests can only be male, though they may be boys. In Islam, the leaders of a prayer group are males. In Zoroastrianism and Roman Catholicism, only men can function as priests. It is said that a woman must first obey her father, then her husband, and then her son; this seems to be the normal pattern as she goes through life. The opinion of the male head of household is especially important in the arrangement of marriages, because in most religious communities these are effectively marriages between two families. At such times, romantic preferences get little consideration. Since it is the male head who typically controls the family's finances, it is he who pays or receives a dowry at the time of a child's marriage. Although older women may be very influential behind the scenes, they wield little legal authority in property and marriage matters.";0;1;1;0
