country;link;text;Main Branches of Armed Forces;Participation in International Conflicts;Peacekeeping Operations;Humanitarian Missions;Military Technology and Capability;Budgetary Emphasis;Domestic Roles Beyond Defense
Australia;https://www.everyculture.com/A-Bo/Australia.html;Military Activity. The defense forces operate according to three basic priorities: defeating attacks from outside the country, defending the nation's regional interests, and supporting a global security environment that discourages international aggression. Australia has a volunteer army reserve but no national service requirement. There is a navy, an army, and an air force. Twelve percent of regular service positions are held by women. The nation's strategic stance is broadly defensive, with the expectation that armed force will be used only to defend national interests. The Defence Force has been called on frequently, to assist in international security and humanitarian crises in the Middle East, Namibia, and Cambodia as well as in humanitarian crises in Somalia and Rwanda. The most recent military activity has been peacekeeping in East Timor. The Defence Force also has played a key role in responding to major floods and fires, and its services are called on in search and rescue missions.;1;1;1;1;0;0;1
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;Military Activity. The role of the military in Brazilian life declined significantly following the military dictatorship that lasted from 1964 to 1985. By 2000 the three forces of the military, the army, navy, and air force, had been subsumed under a new civilian defense ministry and were forced to give up their separate cabinet-level posts. Despite considerable grumbling about this reorganization, particularly among the nationalist wing of the Air Force, no evidence exists that the Brazilian armed forces have either the ability or the desire to regain their lost power through a military coup.;1;0;0;0;0;0;0
China;https://www.everyculture.com/Bo-Co/China.html;"Military Activity. The People's Liberation Army (PLA) includes the Ground Forces, the Navy (both marines and naval aviation), the Air Force, and the Second Artillery Corps (strategic missile force). The People's Armed Police, consisting of internal security troops, is supposedly subordinate to the Ministry of Public Security but is included in the ""armed forces"" and in times of war acts as an adjunct to the PLA. The government quotes a figure of over $12 billion (1.2 percent of the GDP) for military expenses, but many Western analysts place the amount several times higher. Service in the PLA is voluntary and highly selective. Both women and men can serve, and the army conscientiously upholds communist ideals of equality; there are no ranks in the army. As of 1998, there were 2.8 million people in the armed forces: 1,830,000 in the army, 420,000 in the air force, and 230,000 in the navy. That year, however, the government introduced a plan to cut the armed forces by half a million.";1;0;0;0;1;1;1
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;Military Activity. Since World War II, Denmark has been a member of the North Atlantic Treaty Organization (NATO), and it participated in NATO's actions in the Balkan crisis in the 1990s, particularly in Bosnia and Kosovo. Denmark also contributes to the United Nations peace forces in the Middle East and other areas. In 1993, the population voted not to join in the development of a common EU military force. The military is staffed through a system of compulsory enrollment. The term of service, depending on one's duties, ranges from four to twelve months. Full mobilization in the defense forces involves fifty-eight thousand soldiers, while in the absence of war the number is only fifteen thousand. The defense forces include the navy, air force, home guard, and national rescue corps. The defense budget in 1997 was under 2 percent of the gross national product.;1;1;1;0;0;1;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;"Military Activity. Egypt fought many wars in the second half of the twentieth century, mostly with Israel: around the creation of Israel in 1947â€“1949; over the nationalization of the Suez Canal Company and the ""tripartite aggression"" of Israel, France, and the United Kingdom in 1956; the Six-Day War in 1967; the war of attrition in the early 1970s; and the October War of 1973. In addition, Egypt was involved in the Yemeni civil war in the 1960s, when Saudi Arabia was involved on the other side, and contributed troops to the allies who confronted Iraq over the invasion of Kuwait in 1990â€“1991. Egypt suffered considerable loss of life in the wars with Israel between 1947 and 1973, so the situation since then seems more peaceful.";0;1;0;0;0;0;0
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;Military Activity. The Ethiopian military is called the Ethiopian National Defence Force (ENDF) and is comprised of approximately 100,000 personnel, making it one of the largest military forces in Africa. During the Derge regime, troups numbered around one-quarter of a million. Since the early 1990s, when the Derge was overthrown, the ENDF has been in transition from a rebel force to a professional military organization trained in demining, humanitarian and peacekeeping operations, and military justice. From June 1998 until the summer of 2000, Ethiopia was involved in the largest war on the African continent with its northern neighbor, Eritrea. The war was essentially a border conflict. Eritrea was occupying the towns of Badme and Zalambasa, which Ethiopia claimed was sovereign territory. The conflict can be traced to Emperor Menelik, who sold Eritrea to the Italians in the late nineteenth century. Large-scale fighting occurred in 1998 and 1999 with no change in the combatants' positions. During the winter months, fighting was minimal because of the rains, which make it difficult to move armaments. In the summer of 2000, Ethiopia achieved large-scale victories and marched through the contested border area into Eritrean territory. After these victories, both nations signed a peace treaty, which called for United Nations peacekeeping troops to monitor the contested area and professional cartographers to demarcate the border. Ethiopian troops withdrew from undisputed Eritrean territory after the treaty was signed.;0;1;1;1;1;0;0
France;https://www.everyculture.com/Cr-Ga/France.html;Military Activity. The president is the commander in chief of the military, and the minister of defense reports directly to the president. France has an army, navy, and air force. It also contributes to the United Nations military forces and is in the NATO alliance, although its relationship to NATO has been precarious at times. France was involved in several armed conflicts during the twentieth century. After the first and second world wars, it was involved in colonial wars in Algeria and Indochina. The draft is being phased out and will disappear in 2002. Universal compulsory military service for a period of at least sixteen months has been mandatory for all eighteen-year-old males and marked an important rite of passage into adulthood.;1;1;1;0;0;0;0
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;Military Activity. There has been little military action since the end of the civil war and the suspension of the conflict in Abkhazia, but the development of the nation's military potential attracts great attention from both the public and the government. Georgia participates in NATO's Partnership for Peace program and aspires to achieve closer cooperation, and even integration, with NATO. There still are four Russian military bases in the country, although their gradual withdrawal is under way.;0;0;0;0;1;0;0
Germany;https://www.everyculture.com/Ge-It/Germany.html;Military Activity. The German armed forces are under the control of the civilian government and are integrated into the North Atlantic Treaty Organization (NATO). German men who are eighteen years of age are required to serve for ten to twelve months in the armed forcesâ€”or an equivalent length of time in volunteer civilian service. In 2000, Germans began a public debate about the restructuring of the armed forces.;0;0;0;0;0;0;1
India;https://www.everyculture.com/Ge-It/India.html;Military Activity. Five wars with Pakistan and one with China since independence have provided training for several generations of soldiers. India thus has a strong program of national defense, with four national services: the army, navy, air force, and coast guard (since 1978). In 1996, these branches;1;1;0;0;1;0;0
