country;source_url;etiquette_text;verbal_phrase;handshake;cheek_kiss;hug;eye_contact;physical_distance
Australia;https://www.everyculture.com/A-Bo/Australia.html;"A predominant image among Australians is that they are very casual,       easygoing, and familiar. First names are used commonly as terms of       address. An ideology of egalitarianism pervades, with men, women, and       children treated similarly. Attempts at appearing superior to others in       terms of dress, manners, knowledge, and the work ethic are discouraged.         A handshake is the most common way to greet a new acquaintance, and a       hug, a kiss on the cheek, or a verbal greeting the most common way to       greet a friend. The colloquialism, ""g'day"" (good       day), is considered the quintessential greeting. There is an easy friendliness in public places. Personal privacy is       respected and staring is discouraged, although eye contact is not avoided.       Eye contact during conversation is considered polite among the general       population; averting the eyes during conversation is considered a sign of       respect among Aboriginal people. When a line is forming, new arrivals must       go to the end. In museums and exhibitions voices are hushed. In       performance contexts the audience is expected to be silent and attentive.       Service attendants consider themselves equal to their guests, and usually       are not subservient. Australians also resist being ""served.""       Food may be eaten in the street, but meals usually are eaten at a table,       with each person having his or her own plate and eating utensils. Bodily       functions are considered inevitable but are not discussed or performed in       public.";1;1;1;1;1;1
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;"Brazilians have less sense of personal space than North Americans and are       not bothered being packed together in crowded public places. They are       physically expressive and convey emotional information through touch.       While in some societies touching has sexual overtones, Brazilians equate       it with friendship and a show of concern. Women tend to touch more than       men and greet others with kisses on both cheeks, but men also welcome each       other with hearty pats on the back and bear hugs. Such informality extends       to conversation. Brazilians usually address teachers, doctors, priests,       and other professionals using their title followed by their first       nameâ€”Professor JoÃ£o, Doutora Maxine or Presidente Henrique. Still, body language and terms of address vary with an individual's       social standing. A domestic servant will greet her employer with a limp       handshake, head slightly bowed and eyes lowered, and address her using the       respectful ""you"" ( a senhora ), rather than the familiar ""you"" ( voceÃª ); the mistress of the house, by contrast always addresses her servants as vocÃª. University graduates or, at times, even those who appear to be well       educated, are addressed as doutor or doutora (doctor). Brazilians also have relaxed attitudes towards nudity and toward the body       in general. Witness the scanty costumes of carnival performers which       consist of little more than a wisp of fabric and a few feathers, and the       tiny string bikinisâ€”called ""dental floss"" ( fio dental ) in Brazilian slangâ€”that women of all shapes, sizes, and ages wear       on Brazil's public beaches.";0;1;1;1;1;1
China;https://www.everyculture.com/Bo-Co/China.html;"Deference and obedience to elders is considered extremely important. There       is a hierarchy that places older people above younger and men above women;       this is reflected in social interaction. Chinese people are nonconfrontational. Saving face is of primary       importance; appearing to be in the right or attempting to please someone       is more important than honesty. It is considered rude to refuse a request       even if one is unable to fulfill it. The fear of losing face is a concern       that governs social interactions both large and insignificant; failure to       perform a duty brings shame not just on the individual, but on the family       and community as well. Individuality is often subsumed in the group       identity. There is little privacy in the home or family, and housing       shortages and cramped living quarters often exaggerate this situation. People touch often, and same-sex hand holding is common. However, physical       contact between men and women in public is limited. Smiling is not       necessarily a sign of happiness; it can be a display of worry or       embarrassment. Visiting is an important part of social life. Guests often drop in       unannounced and are invited to join the family for a meal. It is customary       to bring a small gift when visiting.";0;0;0;0;0;1
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;Privacy is a primary value in Danish etiquette. One is not supposed to       invite oneself into another person's house or look into other       people's land, property, and salary. Danes show few emotions       publicly, as the open expression of feelings is considered a sign of       weakness. Unless provoked, Danes avoid getting into an argument, and they       dislike being interrupted during a conversation. Informality is considered a virtue. However, informality in social       interaction makes it difficult to enter new social circles. At dinner       parties, meetings, and conferences, there are no formal introductions,       leaving it up to people to initiate interaction.;0;0;0;0;0;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;"Public modesty in dress and deportment is highly valued in Egypt. There is       a form of dress code that affects women more than men, and that requires       clothing that covers all the body but the hands and face. For women, this       most visibly means wearing a head scarf that covers the hair and ears and       is pinned under the chin, though there are many other styles ranging from       simply covering the hair to covering the entire face. This is the sense in       which veiling exists in Egypt, but the situation is volatile, with a good       deal of variety. Many women do not veil at all. What is proper, or       required, or necessary, is hotly debated in contemporary Egypt. The       motivations for veiling are numerous, and range from those who accept that       this is a requirement of Islam to those who cover themselves essentially       to satisfy their relatives, male and female. Men are also enjoined to       dress modestly, but the changes are not as striking, involving for       instance loose trousers and long sleeves. For both men and women, the       principle is that clothes should disguise the shape of the body. Another rule of etiquette is that greetings must precede all forms of       social interaction. A person joining any kind of group, even of strangers,       is expected to greet those already present. In less anonymous situations       handshakes are due. Embracing is also common as a form of greeting,       usually among members of the same sex. People are generally addressed by their given name, often preceded by a       title of some kind (' am, or uncle, is the all-purpose title for men; others include hajj for a pilgrim returned from Mecca or simply for an older man, duktor for a person with a doctorate, and muhandis for an engineer). To address someone by name alone is impolite. One important rule of etiquette is to treat guests cordially and       hospitably. An offering, usually tea or a soft drink, is the least a       visitor expects. The first drink is sometimes called a       ""greeting."" Cigarettes are often also offered as       hospitality. In rural areas, some people avoid visiting those they       consider to be of lower status than themselves. From this point of view,       visits are always ""up,"" and hospitality is always       ""down,"" i.e., the higher-status host provides hospitality       for the lower-status guest. In general, young defer to old and women to men. Members of the younger       generation are expected to show signs of respect and not to challenge       their seniors and must use the special terms of address for aunts, uncles,       and grandparents, as well as for older nonrelatives. Juniors should not       raise their voices to elders, nor should they remain seated while an older       person is standing up. With increasing disparities between classes and the       spread of patronage ties, there is an inflation in deferential terms of       address. This includes the resurgence in the use of terms that were       previously official titles but were abolished after 1952, such as Pasha       and Bey.";1;1;0;1;0;1
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;"Greeting takes the form of multiple kisses on both cheeks and a plethora       of exchanged pleasantries. Any hint of superiority is treated with       contempt. Age is a factor in social behavior, and the elderly are treated       with the utmost respect. When an elderly person or guest enters a room, it       is customary to stand until that person is seated. Dining etiquette is       also important. One must always wash the hands         before a meal, since all food is eaten with the hands from a communal       dish. It is customary for the guest to initiate eating. During a meal, it       is proper form to pull injera only from the space directly in front of oneself. Depleted portions are       replaced quickly. During meals, participation in conversation is       considered polite; complete attention to the meal is thought to be       impolite.";1;0;1;0;0;0
France;https://www.everyculture.com/Cr-Ga/France.html;"In French, "" etiquette "" means both ""etiquette"" and       ""ceremony."" Social class distinctions determine the       importance of various forms of correct social behavior. In general when       people greet each other, they shake hands or embrace with a kiss on both       cheeks (called faire la bise ). Kissing is only done when two people are close friends or relatives.       For the most part, the embrace is done only the first time in a day in       which one sees someone and is not repeated again until one says good-bye.       There is also formality in verbal greetings, so that one shows respect by       adding ""Madam,"" ""Monsieur,"" or       ""Mademoiselle"" to any greeting. There are important public       and private distinctions. In public spaces, one generally does not smile       at strangers or make eye contact with them (for instance, in the subway or       bus) and should keep one's voice low when speaking. Privacy is also       maintained in homes, so that doors to bedrooms and bathrooms are kept       closed. When shopping in smaller stores, the buyer generally greets the       proprietor upon entry, and the proprietor helps the client choose the       goods to be purchased. It is less common to have free access in a store,       although the growth of large hypermarkets and shopping malls is changing       this custom.";1;1;1;1;0;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;Both men and women may kiss one another on the cheek in public places.       Kissing on the lips and intimate hugging in public are not approved.       Shaking hands is common, but women shake hands less often than men do.       Either the person with higher social status or the woman is supposed to       initiate greeting and define its form. In the countryside, it is common to       greet strangers. Men may embrace while walking in the street. In general,       the closer the relationship, the smaller the distance at which people       stand. Women are not supposed to gaze at a stranger or smoke on the       street.;0;1;1;1;1;1
Germany;https://www.everyculture.com/Ge-It/Germany.html;"It has often been noted that German society retains a small town ethos,       which arose in the early modern period under conditions of political and       economic particularism. Indeed, many Germans adhere to standards of bÃ¼rgerlichkeit, or civic morality, which lend a certain neatness and formality to       behavior in everyday life. When entering a store, for example, one is not       likely to be noticed, unless one announces oneself forcefully by saying,       "" guten Tag "" (literally, ""good day"") or ""hello.""       In former East Germany, it is still common for friends and acquaintances       to shake hands when they see each other for the first time each day. West       Germans consider it more modern and perhaps more American not to do so. In       pronouns of direct address, one uses either the formal sie or the informal du. Colleagues in the workplace typically address each other as Sie or use a       title and the family name, such as, Herr or Frau Doktor Schmidt. Life in public does not seem to be the highest good for all Germans, as       urban centers often appear to be abandoned on Saturday afternoons and       Sundays. This is linked to the issue of the operating hours of shops,       which has been debated in Germany since the mid-1970s. For different       reasons, both the unions and the churches opposed extended operating       hours, as do many citizens, who are critical of ""consumer       societies"" or who prefer, on the weekends, to remain with their       families or in their private gardens.";1;1;0;0;0;0
India;https://www.everyculture.com/Ge-It/India.html;Indians are usually very hospitable even when poor and go to considerable       lengths to make a visitor feel comfortable. Women normally adopt a       deferential attitude toward men, especially to their husbands and       fathers-in-law. All the people tend to show deference to religious figures       and government officials. A woman decorates the streets with vibrantly colored rice powder             paintings during a festival in Madurai, India.;0;0;0;0;0;0
