country;source_url;food_text;Rice;Potato;Stewing;Boiling;Frying;Garlic;Fork;Spoon;Knife;Cheese;Alcohol drink
Iran;https://www.everyculture.com/Ge-It/Iran.html;"Food in Daily Life. As one might expect from Iran's geographic situation, its food strikes a medium between Greek and Indian preparations. It is more varied than Greek food, and less spicy and subtler than Indian food with a greater use of fresh ingredients.Iranians have a healthy diet centered on fresh fruits, greens and vegetables. Meat (usually lamb, goat, or chicken) is used as a condiment rather than as the centerpiece of a meal. Rice and fresh unleavened or semileavened whole-grain bread are staple starches. The primary beverage is black tea. The principal dietary taboo is the Islamic prohibition against pork.
Breakfast is a light meal consisting of fresh unleavened bread, tea, and perhaps butter, white (feta-style) cheese, and jam. Eggs may also be eaten fried or boiled. Meat is not common at breakfast.
The main meal of the day is eaten at around one o'clock in the afternoon. In a middle-class household it usually starts with a plate of fresh greens— scallions, radishes, fresh basil, mint, coriander, and others in season. This is served with unleavened bread and white cheese. The main dish is steamed aromatic rice ( chelow ) served with one or more stews made of meat and a fresh vegetable or fruit. This stew, called khoresht resembles a mild curry. It centers on a central ingredient such as eggplant, okra, spinach, quince, celery, or a myriad of other possibilities. One particularly renowned khoresht , fesenjun , consists of lamb, chicken, duck, or pheasant cooked in a sauce of onions, ground walnuts, and pomegranate molasses. In addition to its preparation as chelow, rice may also be prepared as a pilaf ( polow ) by mixing in fresh herbs, vegetables, fruit, or meat after it is boiled, but before it is steamed.The Iranian national dish, called chelow kabab , consists of filet of lamb marinated in lemon juice or yogurt, onions, and saffron, pounded with a knife on a flat skewer until fork tender and grilled over a hot fire. This is served with grilled onions and tomatoes on a bed of chelow to which has been added a lump of butter and a raw egg yolk. The butter and egg are mixed with the hot rice (which cooks the egg), and ground sumac berries are sprinkled on top. A common drink with a meal is dough , a yogurt and salted water preparation that is similar to Turkish ayran, Lebanese lebni, and Indian lassi. Sweets are more likely to be consumed with tea in the afternoon than as dessert. Every region of the country has special confections prized as travel souvenirs, and served casually to guests. Among the most famous are gaz , a natural nougat made with rose water, and sohan , a saffron, butter, and pistachio praline. After a meal Iranians prefer fresh fruit and tea. In fact, fruit is served before the meal, after the meal—indeed, at any time.The evening meal is likely to be a light meal consisting of leftover food from the noon meal, or a little bread, cheese, fruit, and tea. Urban dwellers may eat a light meal at a café or restaurant in the evening.Outside of large cities, restaurants are not very common in Iran. On the other hand, teahouses are ubiquitous, and widely frequented at all times of day. One can always get some kind of meal there.
Alcoholic beverages are officially forbidden in Iran today under the Islamic republic, but their consumption is still widely practiced. Armenian, Jewish, and Zoroastrian communities still produce wine, and local moonshine is found everywhere in rural areas. The principal alcoholic beverage is ""vodka"" distilled from grain, grapes, or more commonly, raisins. It is consumed almost exclusively by men in the evening or at celebrations such as weddings.
Food Customs at Ceremonial Occasions. Ritual foods fall into two categories—foods that are eaten in celebration, and foods that are prepared and consumed as a charitable religious act.
A few foods are traditional for the New Year's celebration. Fish is widely consumed as the first meal of the New Year, along with a polow made with greens. One food appears on the ritual New Year's table, but is rarely eaten. This is a kind of sweet pudding made of ground sprouted wheat called samanou.
During the Islamic month of fasting, Ramadan, no food or drink is consumed from sunrise to sunset. Families rise before dawn to prepare heavy breakfasts that look like the noon meal. The process is repeated at sundown. Special crispy fried sweets made from a yogurt batter and soaked in syrup are frequently served. Two forms are popular: zulbia , which looks a bit like a multi stranded pretzel, and bamieh , which looks a bit like the okra pods it is named after.Food is frequently prepared for distribution to the community as a charitable religious act. When a sheep is slaughtered for a special occasion it is common to give meat to all of one's neighbors. To give thanks for fulfillment of a desire, a community meal is frequently prepared. Likewise, during the mourning ceremonies for Hossein during the months of Muharram and Safar, communal meals are paid for by charitable individuals. The most common food served on these occasions is a polow made with yellow peas and meat.
";1;0;1;1;1;0;1;0;1;1;1
Australia;https://www.everyculture.com/A-Bo/Australia.html;"Food in Daily Life. Before colonization, Aboriginal peoples were sustained by a diverse range of flora and fauna. The early settlers primarily consumed meat (at first native animals, later beef and mutton), bread, and vegetables, particularly potatoes.
Nearly all regularly eaten foods—except seafood—were introduced after European settlement. However, there have been considerable changes in food preference patterns. In the 1940s meat consumption began to decline, poultry consumption increased dramatically after the 1960s, and there has been a doubling of seafood consumption since the 1930s, in addition to a steady increase in fruit and vegetable consumption since the 1950s.
Since World War II the diet has become highly diversified. Each wave of immigrants has had an impact, including German, Italian, Greek, Lebanese, Jewish, and Southeast Asian foods and cooking styles. Olive and vegetable oils have replaced dripping and lard, and items such as garlic and Asian condiments are used more commonly.
Australian chefs are known worldwide for their ""fusion cuisine,"" a blending of European cooking traditions with Asian flavors and products. Nevertheless, certain foods are recognized as national emblems, including Vegemite (a yeast extract spread), Milo (a powdered base for chocolate milk drinks), Anzac biscuits (oat biscuits sent to soldiers in World War I), and damper (a wheat flour-based loaf traditionally cooked in the ashes of a fire by settlers).
Australians are among the world leaders in fast-food consumption. Burger and chicken chain stores are prominent in the suburbs, having displaced the traditional meat pies and fish and chips. While Australians were long known as tea drinkers, coffee and wine have become increasingly popular.Before World War II Australians drank about twenty times more beer than wine; beer consumption remains high, but wine drinking has increased at a much greater rate, and the country has become a significant exporter of wine.

Food Customs at Ceremonial Occasions. No foods are reserved for special occasions, although the religious traditions of some ethnic groups include ceremonial foods. Easter and Christmas are observed by most of the population. Christmas usually is celebrated as it is in Britain, with roast turkey, ham, and roast vegetables followed by a steamed fruit pudding. However, there is an increasing tendency for Christmas to involve a light seafood meal, and barbecues are becoming popular as well. Instead of pudding, many people have ice cream cakes or cold desserts such as pavlova (made from egg whites and sugar). Some people celebrate ""Christmas in July,"" using the coldest month of the year to enjoy the hot dinner of a traditional Christmas.";0;1;0;0;1;1;0;0;0;0;1
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;"Food in Daily Life. Rice, beans, and manioc form the core of the Brazilian diet and are eaten at least occasionally by all social classes in all parts of the nation. Manioc is a root crop that is typically consumed as farinha , manioc flour sprinkled over rice and beans, or farofa , manioc flour sautéed in a bit of oil with onions, eggs, olives, or other ingredients. To this core, meat, poultry, or fish are added, but the frequency of their consumption is closely tied to financial well-being. While the middle and upper classes may consume them on a daily basis, the poor can afford such protein sources far less often.
Traditionally the most important meal of the day is a multicourse affair eaten after midday. For middle-class and elite families it might consist of a pasta dish or a meat or fish course accompanied by rice, beans, and manioc and a sweet dessert or fruit followed by tiny cups of strong Brazilian coffee called cafezinho. For the poor it would be primarily rice and beans. The evening repast is simpler, often consisting of soup and perhaps leftovers from the midday meal.As Brazil urbanizes and industrializes, the leisurely family-centered meal at midday is being replaced by lanches (from the English, ""lunch""), smaller meals usually consumed in restaurants, including ones featuring buffets that sell food by the kilo and such ubiquitous fast-food eateries as McDonalds. The poor, who cannot afford restaurants, are likely to eat the noon meal at home, to buy snacks sold on the street, or to carry food with them to work in stacked lunch buckets. In rural areas itinerant farm laborers who are paid by the day and who carry such buckets have been dubbed bóias-frias, ""cold lunches.""Meals may be accompanied by soft drinks— including guaraná, made from a fruit that grows in the Amazon—beer, or bottled water.Food Customs at Ceremonial Occasions. While the principle foods consumed in Brazil are fairly uniform across the country, there are regional specialties, many of which are eaten on festive occasions. In the northeastern state of Bahia ingredients of African origin—palm oil ( dendê ), dried shrimp, peanuts, malagueta peppers—are the basis of regional cuisine in such dishes as vatapá (seafood stew) and acarajé (black-eyed pea fritters). A variety of fruit and fish native to the Amazon are featured in dishes of that region, while in southern Brazil, an area of extensive cattle ranches, meals of grilled meat ( churrasco ) are favored. Another southern specialty are rodizios, restaurants featuring barbecue in which waiters pass from table to table with large skewers of grilled meats and poultry.
Brazil's national dish, feijoada (literally ""big bean"" stew), is said to have originated during slave times. Traditionally feijoada contained inexpensive and less desirable cuts of meat such as tripe and pigs feet, Brazilian slaves having concocted the dish from the leftovers of the master's table. Today feijoada consists of a variety of meats slowly cooked with black beans and condiments. A feijoada completa or ""complete feijoada"" is accompanied by rice, fresh orange slices, a side dish of peppery onion sauce, chopped greens, such as collards, and farinha. Caipirinhas —a potent blend of Brazilian sugarcane alcohol ( cachaça ), crushed limes, and sugar—or batidas ( cachaça and fruit juice) are usually served as aperitifs; beer is the drink of choice to accompany the meal. Feijoada is served in restaurants, typically on Wednesdays and Saturdays, and when made at home, it is a favorite dish for guests.
";1;0;1;0;1;0;0;0;0;0;1
China;https://www.everyculture.com/Bo-Co/China.html;"Food in Daily Life. Rice is the dietary staple in most of the country. In the north and the west, where the climate is too dry to grow rice, wheat is the staple grain. Here, breakfast usually consists of noodles or wheat bread. In the south, many people start the day with rice porridge, or congee, served with shrimp, vegetables, and pickles. Lunch is similar to breakfast. The evening meal is the day's largest. Every meal includes soup, which is served as the last course.
People cook in a wok, a metal pan with a curved bottom; this style of cooking requires little oil and a short cooking time. Steaming in bamboo baskets lined with cabbage leaves is another cooking method. Meat is expensive and is served sparingly.
The cuisine can be broken down into four main geographic varieties. In Beijing and Shandong, specialties include Beijing duck served with pancakes and plum sauce, sweet and sour carp, and bird's nest soup. Shanghaiese cuisine uses liberal amounts of oil and is known for seafood and cold meat dishes. Food is particularly spicy in the Sichuan and Hunan provinces. Shrimp with salt and garlic, frogs' legs, and smoked duck are popular dishes.The southern cuisine of Canton and Chaozhou is the lightest of the four. Seafood, vegetables, roast pork and chicken, and steamed fish are served with fried rice. Dim sum, a breakfast or lunch meal consisting of a combination of different appetizer style delicacies, is popular there.

Cooking reflects the country's history of famines caused by factors such as natural disasters and war. The Chinese eat parts and species of animals that many other cultures do not, including fish heads and eyeballs, birds' feet and saliva, and dog and cat meat.Tea is the most common beverage. The Han drink it unsweetened and black, Mongolians have it with milk, and Tibetans serve it with yak butter. The Chinese are fond of sugary soft drinks, both American brands and locally produced ones. Beer is a common beverage, and there are many local breweries.
Food Customs at Ceremonial Occasions. Special occasions and large family gatherings often entail big, elaborate meals. In the north, dumplings called jiaozi are served at the Spring Festival and other special occasions. For the Moon Festival in midautumn, ""moon cakes"" are served, baked pastries filled with ground sesame and lotus seeds or dates. Banquets originating in the imperial tradition are ceremonial meals common to important state gatherings and business occasions. They usually are held at restaurants and consist of ten or more courses. Rice is not served, as it is considered too cheap and commonplace for such an event.
";1;0;0;0;1;1;0;0;0;0;1
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;Food in Daily Life. Danes eat most of their meals at home and in private settings, although public dining places ranging from small hot dog stands to fancy restaurants are available and are used.A breakfast of coffee, bread, or cereal is eaten at home. Sunday breakfast commonly includes fresh bakery bread, boiled eggs, juice, tea or coffee, and the Sunday newspaper.Lunch at a work place, school, or institution is either homemade or available in kitchens or canteens, offering open sandwiches, hot meals, or a buffet table. It also may be bought at butcher shops, cafes, and sandwich bars. Open sandwiches are traditional, consisting of rye bread with salami, liver pâté, herring, roast pork, fried plaice, cod roe, cheese, chocolate, or fruit. Dinner at home traditionally consisted of an appetizer, a main course, and dessert. Soup, porridge and fish dishes were served but today are rarely eaten on a daily basis. A main course is traditionally composed of boiled potatoes, boiled vegetables such as green beans and cauliflower, and fried meat such as meat balls, cutlets, or roast pork served with brown gravy. Pizza, pasta, rice, chicken, and turkey have become common food items among young people. Imported fruit, vegetables, and spices are also common.Inns often dating back several centuries throughout the country offer traditional Danish food. Pizzerias are found in small towns and cities. In larger cities, there are Chinese, Italian, and Greek restaurants, along with fast-food establishments from America, the Middle East, and South America and restaurants that serve Danish open sandwiches ( smørrebrød ) and pastry. Food taboos include pet animals such as cats, dogs, and horses. The ecological movement and informed consumers have been mutually dependent since the 1970s. The demand for and production of organically grown foods have grown, and most supermarkets offer a range of organically grown vegetables, meat, and dairy products.Food Customs at Ceremonial Occasions. Danes eat or drink at every social occasion, preferably traditional dishes, cakes, and drinks. However, the act of drinking and eating together is considered more important than what is actually consumed. Formal social occasions include birthdays, weddings, anniversaries, baptisms, confirmations, graduations, and funerals. Private parties held in community centers or restaurants are common. Hosts spend from one to six months' salary on a formal party for rent, food, drinks, and musicians.Holidays with special meals include New Year's Eve, Easter, Martin Mass, and Christmas. New Year's Eve traditionally is celebrated with boiled cod, Easter with elaborate lunches and roast lamb for dinner, and Martin Mass with roast goose. The traditional Christmas Eve dinner includes roast pork, roast duck, or goose stuffed with prunes, served with pickled red cabbage, white boiled potatoes, fried brown sugared potatoes, and thick brown gravy. Desserts include rice porridge and ris a la mande (rice porridge mixed with whipped cream, almonds, and vanilla and served with hot cherry sauce). At Christmas and Easter, special seasoned beers are sold. Christmas is celebrated by eating a traditional extravagant lunch and dinner that bring the family together.;1;1;0;1;1;0;0;0;0;1;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;"Food in Daily Life. Eating is an important social activity, and is central to marking special events and ceremonial occasions.
The most important food item in daily life is the bread loaf. In rural areas, bread is usually baked by women in mud ovens at home. In cities, bread is sold in bakeries. The standard loaf is strictly regulated by the government in terms of weight and
price, and is one of the very few items that still receives a state subsidy.

The indigenous cuisine relies heavily on legumes. The main national dish is foul . This is a dish of fava beans cooked slowly over low heat and seasoned with salt, lemon, cumin, and oil. It is usually eaten for breakfast. Another common dish is tamiyya or falafel which is made from crushed fava beans mixed with onions and leeks and fried in oil. Also popular is koshari , a mixture of rice, black lentils, and macaroni covered with tomato sauce and garnished with fried onions. These dishes are prepared at home, but are also sold in stalls all over Cairo.The level of consumption of animal protein depends almost entirely on wealth (and is itself a sign of wealth). Well-to-do households eat animal protein (beef, lamb, poultry, or fish) every day. Muslims do not eat pork. Less-affluent families eat animal protein once a week or even once a month.
Restaurants are widespread all over the country. They vary from stalls selling traditional street food to posh restaurants serving international cuisine.
One main distinction between traditional, usually rural, and urban middle-class eating habits concerns the seating and service of food. In villages, people sit on a carpet, and food is placed on a very low round wooden table. Each person has a spoon, and everyone eats directly from the service dish. In cities, people sit on chairs around Western-style dining tables. Each person has his or her own plate, spoon, fork, and knife. In rural areas, the main meal is after dark; in the urban areas it is often in late afternoon after office workers return home.
Food Customs at Ceremonial Occasions. Several Muslim feasts are marked by special meals. The 'Id al-Adha, which celebrates Abraham's willingness to sacrifice his son (who is then miraculously turned into a ram), requires those who can afford it to sacrifice a ram. Part of the animal is distributed to the poor and part consumed by members of the household.
The 'Id al-Fitr after the fast of Ramadan is celebrated by baking special cookies ( kahk ) which are later sprinkled with powdered sugar. These cookies are usually offered to guests who bring the greetings of the feast.
The Prophet's Birthday, which marks the birth of the prophet Muhammad, is celebrated by the consumption of halawet al-mulid, which is a variety of sweets cooked with different types of nuts. Children are given dolls (girls) or horses (boys) made entirely of sugar and decorated with colored paper.On the eve of both Christmas day and Easter day, Orthodox Copts break their fast with a variety of dishes made of beef and poultry. One of the main food items that marks the feast are cookies similar to those prepared for the 'Id al-Fitr. Sham al-Nassim (Easter Monday) is mainly marked by a breakfast of salted fish, spring onion, lettuce, and colored eggs, which is consumed outdoors in gardens and open areas. This festival is celebrated nationwide in practically all regions and by all social classes. It is the ancient Egyptian spring and harvest festival.
Fasting is seen as a spiritual exercise by both Muslims and Christians. The Muslim fast entails abstaining from food and drink from sunrise to sundown, notably during the lunar month of Ramadan (either twenty-nine or thirty days). Some particularly devout Muslims also fast on other days in the Islamic calendar, such as the days celebrating the birth of the prophet Muhammad or his miraculous ""Night Journey,"" the days representing the middle of the lunar month (days thirteen, fourteen, and fifteen), or each Monday and Thursday. The result is that nearly half the days in the year can be considered fasting days by some. Virtually all Egyptian Muslims fast during Ramadan, while the voluntary fasts are followed by a smaller number.
The number of days that Egyptian Christians can theoretically fast is even larger. The number is variable, but it includes over 200 days a year, mostly in the periods leading up to Christmas and Easter, plus the Wednesdays and Fridays of each week outside the fasting periods. Christian fasting means avoiding meat, fish, eggs, milk, butter, and cheese. In the Christian tradition, one theme of fasting is the domination of the body and of emotions by the mind in order to reach a greater purity.";1;0;1;0;1;0;1;1;1;1;0
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;"Food in Daily Life. Injera , a spongy unleavened bread made from teff grain, is the staple of every meal. All food is eaten with the hands, and pieces of injera are ripped into bite-sized pieces and used to dip and grab stews ( wat ) made of vegetables such as carrots and cabbage, spinach, potatoes, and lentils. The most common spice is berberey, which has a red pepper base.
The food taboos found in the Old Testament are observed by most people as the Ethiopian Orthodox Church prescribes them. The flesh of animals with uncloven hoofs and those that do not chew their cud are avoided as unclean. It is nearly impossible to get pork. Animals used for food must be slaughtered with the head turned toward the east while the throat is cut ""In the name of the Father, the Son, and the Holy Ghost"" if the slaughterer is Christian or ""In the name of Allah the Merciful"" if the slaughterer is Muslim.
Food Customs at Ceremonial Occasions. The coffee ceremony is a common ritual. The server starts a fire and roasts green coffee beans while burning frankincense. Once roasted, the coffee beans are ground with a mortar and pestle, and the powder is placed in a traditional black pot called a jebena . Water is then added. The jebena is removed from the fire, and coffee is served after brewing for the proper length of time. Often, kolo (cooked whole-grain barley) is served with the coffee.
Meat, specifically beef, chicken, and lamb, is eaten with injera on special occasions. Beef is sometimes eaten raw or slightly cooked in a dish called kitfo. Traditionally, this was a staple of the diet, but in the modern era, many of the elite have shunned it in favor of cooked beef.
During Christian fasting periods, no animal products can be eaten and no food or drink can be consumed from midnight until 3 P.M. This is the standard way of fasting during the week, and on Saturday and Sunday no animal products may be consumed, although there is no time restriction on the fast.
Honey wine, called tej , is a drink reserved for special occasions. Tej is a mixture of honey and water flavored with gesho plant twigs and leaves and is traditionally drunk in tube-shaped flasks. High-quality tej has become a commodity of the upper class, which has the resources to brew and purchase it.";0;1;1;0;0;0;0;0;0;0;1
France;https://www.everyculture.com/Cr-Ga/France.html;"Food in Daily Life. Food plays a major role in the country's social life. Wine and cheese are sources of national pride and reflect regional differences. Meals are ritualized, and full of social and cultural meaning. There are also political aspects to the meaning of food. For instance, there has recently been much concern about the quality of ""engineered"" food and a rejection of foods that have been genetically altered. Another recent concern has been la vache folle (mad cow disease); the French have rejected the importation of English beef, which has been a major issue in the EU.The three main meals are le petit déjeuner (break-fast), le déjeuner (lunch), and le dîner (dinner). Although the midday meal had great importance in an agricultural economy and is still the main meal in rural areas, there is a tendency for families to eat the largest meal in the evening. Breakfast is a light meal of bread, cereal, yogurt, and coffee or hot chocolate. Lunch and dinner generally involve several courses, at minimum a first course ( l'entree ) and a main dish ( le plat ), followed by cheese and/or dessert. In restaurants, it is common to have a price that includes all these courses, with a choice of dishes. Children eat a snack after school, le goûter or quatre-heures, which usually includes cookies, bread and jam or chocolate, and a drink.Meals involve a succession of courses eaten one at a time. A typical family meal starts with a soup, followed by vegetables and a meat dish and then a salad, cheese, and dessert. Wine is commonly served at meals. Children begin to drink wine during family dinners in their early teens, often drinking wine diluted with water. Most daily food preparation is done by wives and mothers in family settings even if both spouses work full-time. The need to prepare wholesome meals that reflect traditional values is an increasing source of stress for working women who feel pressed for time. Convenience foods are becoming more prevalent, and fast food is a growing trend.
Food Customs at Ceremonial Occasions. Large family gatherings and dinner parties involve more elaborate food preparation and more courses than daily family meals. At such occasions, drink is more important. An apéritif is served with small snacks or appetizers before the meal. Different regions have particular apéritifs : pastis is associated with southern France, and Suze (gentian liqueur) with the Auvergne. Wines complement the courses. Champagne often is served to mark ceremonial occasions and is drunk after the meal. This is followed by coffee and a digestif (liqueur). It is not uncommon for ceremonial meals to last three or more hours. In Normandy, a tradition that involves having a drink of calvados after each course further lengthens the meal.Holidays are associated with special foods. Elaborate meals are served on Christmas Eve by Catholic families who attend midnight Mass. These meals involve salmon, oysters, turkey, and la bûche de noël cake. In many regions, crêpes are eaten on 2 February, the Feast of the Virgin. The ceremonial nature and symbolism of food are evident in rural wedding ceremonies. Often, mixtures of food and drink are presented to the wedding couple in a chamber pot in the early hours of the morning after the wedding. These mixtures can include champagne and chocolate or savory soups with carrots and onion.
In many rural regions, it is still common for families to slaughter a pig each winter and make sausages, patés, hams, roasts, and chops for freezing. These are ceremonial occasions, and each person who helps the family is given a portion of the pig.";0;0;0;0;0;0;0;0;0;1;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;"Food in Daily Life. The greatest culinary divide is between the western and eastern region. In the west, there is a greater emphasis on vegetarian food, predominantly prepared with walnuts. Herbs and spices, especially tarragon, basil, coriander, feuille Grec, and pepper make western Georgian food hot and spicy. Cheese usually is made from cow's milk and is eaten with either corn bread or a corn and flour porridge. Khachapuri, a kind of cheese pizza, is common.
In the eastern area, the food is heavier, with more of an accent on mutton and pork. Wheat bread is preferred to corn, and sheep's cheese from Tusheti is popular. Among people in the mountains, the most popular food is khinkali, a cooked meat dumpling that usually is accompanied by beer. The most popular vegetables are tomatoes, potatoes, radishes, pumpkins, eggplant, beans, cucumbers, and cabbage. The most popular sauce, tkemali, is made of wild plums; other sauces are based on walnuts with spices, or pomegranate juice. Wine is drunk everywhere, and stronger alcoholic beverages include araki, which is made of grapes and other fruit with honey. Fish, especially trout, is eaten universally. A wide variety of locally grown fruit is supplemented by wild and cultured berries, watermelons and other melons. Dried fruit and nuts covered with a mixture of grape juice and wheat or corn flour are eaten in the winter. Jams are prepared from fruit, unripe walnuts, watermelon, eggplant, and green tomatoes.

Food Customs at Ceremonial Occasions. At the New Year's festivity, ground walnuts boiled in honey are served, along with a turkey or chicken in walnut sauce. An Easter meal includes hard-boiled eggs dyed red and other bright colors, roasted piglet and lamb, and special cakes with vanilla and spices. Special dishes are served at a wake: rice with mutton in the east, and meat with sweet rice and raisins in the west. Special wheat porridge with walnuts and honey is served forty days after a person's death.
";1;1;0;1;0;0;0;0;0;0;1
Germany;https://www.everyculture.com/Ge-It/Germany.html;"Food in Daily Life. Eating habits in Germany vary by social class and milieu, but it is possible to generalize about the behavior of the inclusive middle class, which has emerged in the prosperous postwar era. Most Germans acquire food from both supermarkets and specialty shops, such as bakeries and butcher shops. Bread is the main food at both breakfast and supper. Breakfast usually includes brötchen, or rolls of various kinds, while supper— called Abendbrot —often consists of bread, sausages or cold cuts, cheese, and, perhaps, a salad or vegetable garnish. The warm meal of the day is still often eaten at noon, though modern work routines seem to encourage assimilation to American patterns. Pork is the most commonly consumed meat, though various sorts of wurst, or sausage, are often eaten in lieu of meat. Cabbage, beets, and turnips are indigenous vegetables, which are, however, often supplemented with more exotic fare. Since its introduction in the seventeenth century, the potato has won a firm place in German cuisine. Favorite alcoholic beverages are beer, brandy, and schnapps. German beers, including varieties such as Pilsner, Weizenbier, and Alt, are brewed according to the deutsche Reinheitsgebot, i.e., the German law of purity from the sixteenth century, which states that the only admissible ingredients are water, hops, and malt. Large family meals are still common at noontime on Saturdays and Sundays. These are often followed in mid-afternoon by Kaffee und Kuchen, the German version of tea time.
Food Customs at Ceremonial Occasions. Special meals usually include meat, fish, or fowl, along with one of a number of starchy foods, which vary by region. Examples of the latter include klöße (potato dumplings), knödel (a breadlike dumpling), and spätzle (a kind of pasta). Alternatively, Germans often celebrate in restaurants, which often feature cuisines of other nations. Greek restaurants tend to be more moderately priced, French restaurants are often more expensive, and the especially popular Italian restaurants span the range of price categories. The most important holiday meal is Christmas dinner. Regional and family traditions vary, but this often consists of goose, duck, or turkey, supplemented by red cabbage and potatoes or potato dumplings.
";0;1;0;0;0;0;0;0;0;1;1
