country;link;text;Bonfire/firworks;Parades;Family gathering;Alcohol drink;Sweets;Gift;Barbeque;Music
Iran;https://www.everyculture.com/Ge-It/Iran.html;"Secular Celebrations. Most holidays in Iran are religious in nature. The few secular holidays relate to pre-Islamic practices, or modern political events. The Iranian New Year's Celebration ( Now Ruz ) is the nation's principal secular holiday. The Now Ruz celebration is replete with pre-Islamic symbolism, beginning with the practice of jumping over bonfires on the Wednesday before the equinox. An array of symbols emphasizing agricultural renewal is displayed throughout the long period of celebration, which lasts for thirteen days. Accompanying the festivities is the celebratory presence of a black-faced clown, Hajji Firouz . In some parts of the country a ""king"" of the New Year is selected and catered to during the holiday. On the thirteenth day he is ritually sacrificed. In some parts of Iran the winter solstice is celebrated in a special manner. Watermelons are saved from the summer and hung in a protected place. On the longest night of the year, family and friends stay up all night, tell stories, and eat the watermelons. The nation also celebrates Islamic Republic Day on 1 April to mark the 1979 Revolution.";1;0;1;0;0;0;0;0
Australia;https://www.everyculture.com/A-Bo/Australia.html;Secular Celebrations. Probably the most significant national secular celebration is Anzac Day on 25 April. This is a public holiday that commemorates the Australia and New Zealand Army Corps landing at Gallipoli in Turkey in 1915. However, the event now encompasses participants in all wars in which Australia has been involved. Dawn services are held at war memorials and there are well-attended street parades. On Remembrance Day (11 November), which is not a public holiday, a two-minute silence is observed in remembrance of Australians who fought and died in wars. Australia Day is celebrated on 26 January to commemorate British settlement, and many capital cities host a fireworks event. Boxing Day occurs on 26 December. The Boxing Day cricket test match is an annual event watched on television by many residents. The day also is treated as an opportunity to extend Christmas socializing, with many barbecues taking place in public parks or at private homes. Labour Day is a public holiday to commemorate improved working conditions and the implementation of the eight-hour workday. It is celebrated at different times of the year in different states. A significant celebration occurs on Melbourne Cup Day, an annual horse-racing event in Melbourne. Many people attending the race dress formally, and employees in workplaces gather to watch the event on television. New Year's Day and New Year's Eve are celebrated. Royal Easter Shows and Royal Show Days with annual agricultural shows are held in capital cities with exhibits, competitions, and sideshows highlighting the rural tradition. On Grand Final Days, the annual finals to the national Australian Rules and Rugby League football competitions, large crowds gather to watch the game and friends congregate to watch it on television in homes and public bars. Most states have public holidays to commemorate the founding of the first local colony, and there are annual arts festivals that attract local, national, and international artists as well as multicultural festivals. Some states have wine festivals.;1;1;1;1;0;0;1;0
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;"Secular Celebrations. Most secular celebrations in Brazil are tied to the liturgical calendar since many originally started as religious celebrations and then became secularized. The Feast of the Three Kings, 6 January. Children go door to door singing songs and requesting gifts. This tradition has almost died out in urban areas, but survives in the interior. Carnival, variable dates, from late January to March. Brazil's famous four-day ""national party"" preceding Ash Wednesday is marked by street parades, samba, music, parties, and elaborate costumes. Its forms vary from city to city and region to region. The most popular street carnivals are in Rio de Janeiro, SÃ£o Paulo, Recife, Olinda, and Salvador. Tiradentes Day, 2 April. Tiradentes (literally, tooth-puller) was leader of the Minas Conspiracy, the most important early movement for Brazilian independence. When the Portuguese Crown discovered Tiradentes was leading an independence movement, he was hanged and quartered in the public square in Vila Rica, a town in Minas Gerais. Festas Juninas (June Festivals), June. Brazilians celebrate a series of popular festivals with origins in Roman Catholic tradition. The feasts of Saint Anthony (13 June), Saint John (24 June) and Saint Peter (29 June) are marked by huge bonfires, traditional foods and games, square dancing, and parties for children. Urban children dress up like hillbillies during these Festivals. Brazilian Independence Day, 7 September. Brazil was a colony of Portugal until 1822 when Pedro I, the crown prince, declared its independence from the mother country. Nossa Senhora Aparecida (Our Lady Aparecida), 12 October. The Feast of Nossa Senhora Aparecida, the patron saint of Brazil, is a legal holiday. Proclamation of the Republic, 15 November. This holiday celebrates the demise of the Brazilian Empire and the proclamation of the republic in 1889. New Year's Eve, 31 December. Thousands of followers of Afro-Brazilian religions celebrate New Year's Eve on Brazil's beaches to honor YemanjÃ¡, goddess of he sea.";1;1;1;0;0;1;0;1
China;https://www.everyculture.com/Bo-Co/China.html;Secular Celebrations. New Year's Day on 1 January is observed in addition to the traditional Chinese New Year. Other holidays include International Working Women's Day on 8 March, International Labor Day on 1 May, Youth Day on 4 May, Dragon Boat Festival in May or June, Children's Day on 1 June, Founding of the Communist Party of China Day on 1 July, Founding of the People's Liberation Army Day on 1 August (celebrated with music and dance performances by military units), Teacher's Day on 10 September, and National Day on 1 and 2 October.;0;0;0;0;0;0;0;1
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;"Secular Celebrations. Among the traditional secular celebrations is ""Shrovetide"" ( fastelavn ), which is held in February and features children dressed in fancy costumes going from house to house singing songs and begging for money, candy, or even buns. The ""1st of May Celebrations"" were originally intended to celebrate the formation of workers' unions, but they have evolved into public parties with demonstrations, speeches, music, and drinking. ""Saint Hans"" is a midsummer celebration held on June 23 that features singing, speeches, and a traditional bonfire at which a doll symbolizing a witch is burned. Besides these national celebrations, farmers and other rural residents regularly hold harvest parties in August and September to celebrate crops that have been brought in from the fields.";1;0;0;1;1;1;0;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;"Secular Celebrations. The main public holidays are: 25 April, Sinai Liberation Day, which marks the recovery of the Sinai Peninsula in 1982; 1 May, International Labor Day; 23 July, which commemorates the revolution of 1952; and 6 October, Armed Forces Day, which marks the day in 1973 when the Egyptian army crossed the Suez Canal, surprising the Israeli army and scoring a minor military victory that, through later diplomacy, would lead to the return of Sinai to Egypt. Labor Day in Egypt as elsewhere is used to salute the working class. The others mark important events in the recent political history of the country. All are official affairs, with little popular celebration.";0;0;0;0;0;0;0;0
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;Secular Celebrations. The major state holidays are New Year's Day on 11 September, Victory Day of Adwa on 2 March, Ethiopian Patriots Victory Day on 6 April, Labor Day on 1 May, and the Downfall of the Derge, 28 May.;0;0;0;0;0;0;0;0
France;https://www.everyculture.com/Cr-Ga/France.html;"Secular Celebrations. France has several civic holidays ( jours feriÃ©s ), when schools, museums, and stores close. These public holidays, which include some with a religious origin, are: le Jour de l'Anâ€”1 January; May Day or Labor Dayâ€”1 May; World War II Victory Dayâ€”8 May; Easter (date varies); Ascension Day (after Easter); Pentecost Monday; Bastille Dayâ€”14 July; Assumption Dayâ€”15 August; All Saints Day or Toussaintâ€”1 November; Armistice Dayâ€”11 November; and Christmasâ€”25 December. Along with Bastille Day, Armistice Day is the most patriotic of these holidays, marking the end of World War I. There are speeches and parades in local communities involving local dignitaries and veterans, who place a wreath on the war memorial. Bastille Day is the most important national holiday, celebrated in every commune with town dances, fireworks, and other festivities. On this day, there is a parade down the Champs-ElysÃ©e in Paris, involving the President and other dignitaries. Bastille Day marks the storming of the state prison, known as Bastille, by the citizens of Paris during the French Revolution. Known popularly as the 14th of July ( le quatorze juillet ), Bastille Day celebrates the overthrow of monarchy and the beginnings of the French Republic. Each commune in France generally holds a town festival during the year. In some regions, these incorporate religious and secular symbolisms. There are dances, parades, sports competitions, and other activities.";1;1;0;0;0;0;0;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;Secular Celebrations. The most widely observed holiday still is the New Year. Among national holidays, Independence Day is the most respected, and people like to attend even newly invented festivities such as Tbilisoba in October, a holiday invented by the Communist authorities.;0;0;0;0;0;0;0;0
Germany;https://www.everyculture.com/Ge-It/Germany.html;Secular Celebrations. German holidays are those of the Roman calendar and the Christian liturgical year. Especially popular are Sylvester (New Year's), Karneval or Fastnacht (Mardi Gras), Ostern (Easter), Himmelfahrt (Ascension Day), Pfingsten (Pentecost), Advent, and Weihnachten (Christmas). The new national holiday is 3 October, the Tag der deutschen Einheit (Day of German Unity).;0;0;0;0;0;0;0;0
