country;link;text;Traditionally arranged;Individual arranged;Family marriage;Love;Social duity;Equal right;Civil ceremony
Iran;https://www.everyculture.com/Ge-It/Iran.html;"Marriage. In Iran women control marriages for their children, and much intrigue in domestic life revolves around marital matters. A mother is typically on the lookout for good marriage prospects at all times. Even if a mother is diffident about marriage brokering, she is obliged to ""clear the path"" for a marriage proposal. She does this by letting her counterpart in the other family know that a proposal is forthcoming, or would be welcome. She then must confer with her husband, who makes the formal proposal in a social meeting between the two families. This kind of background work is essential, because once the children are married, the two families virtually merge, and have extensive rights and obligations vis-Ã¡-vis each other that are close to a sacred duty. It is therefore extremely important that the families be certain that they are compatible before the marriage takes place. Marriage within the family is a common strategy, and a young man of marriageable age has an absolute right of first refusal for his father's brother's daughterâ€”his patrilateral parallel cousin. The advantages for the families in this kind of marriage are great. They already know each other and are tied into the same social networks. Moreover, such a marriage serves to consolidate wealth from the grandparents' generation for the family. Matrilateral cross-cousin marriages are also common, and exceed parallel-cousin marriages in urban areas, due perhaps to the wife's stronger influence in family affairs in cities. Although inbreeding would seem to be a potential problem, the historical preference for marriage within the family continues, waning somewhat in urban settings where other considerations such as profession and education play a role in the choice of a spouse. In 1968, 25 percent of urban marriages, 31 percent of rural marriages, and 51 percent of tribal marriages were reported as endogamous. These percentages appear to have increased somewhat following the Revolution. In Iran today a love match with someone outside of the family is clearly not at all impossible, but even in such cases, except in the most westernized families, the family visitation and negotiation must be observed. Traditional marriages involve a formal contract drawn up by a cleric. In the contract a series of payments are specified. The bride brings a dowry to the marriage usually consisting of household goods and her own clothing. A specified amount is written into the contract as payment for the woman in the event of divorce. The wife after marriage belongs to her husband's household and may have difficulty visiting her relatives if her husband does not approve. Nevertheless, she retains her own name, and may hold property in her own right, separate from her husband. The wedding celebration is held after the signing of the contract. It is really a prelude to the consummation of the marriage, which takes place typically at the end of the evening, or, in rural areas, at the end of several days' celebration. In many areas of Iran it is still important that the bride be virginal, and the bedsheets are carefully inspected to ensure this. A wise mother gives her daughter a vial of chicken blood ""just in case."" The new couple may live with their relatives for a time until they can set up their own household. This is more common in rural than in urban areas. Iran is an Islamic nation, and polygyny is allowed. It is not widely practiced, however, because Iranian officials in this century have followed the Islamic prescription that a man taking two wives must treat them with absolute equality. Women in polygynous marriages hold their husbands to this and will seek legal relief if they feel they are disadvantaged. Statistics are difficult to ascertain, but one recent study claims that only 1 percent of all marriages are polygynous. Divorce is less common in Iran than in the West. Families prefer to stay together even under difficult circumstances, since it is extremely difficult to disentangle the close network of interrelationships between the two extended families of the marriage pair. One recent study claims that the divorce rate is 10 percent in Iran. For Iranians moving to the United States the rate is 66 percent, suggesting that cultural forces tend to keep couples from separating. Children of a marriage belong to the father. After a divorce, men assume custody of boys over three years and girls over seven. Women have been known to renounce their divorce payment in exchange for custody of their children. There is no impediment to remarriage with another partner for either men or women. Domestic Unit. In traditional Iranian rural society the ""dinner cloth"" often defines the minimal family. Many branches of an extended family may live in rooms in the same compound. However, they may not all eat together on a daily basis. Sons and their wives and children are often working for their parents in anticipation of a birthright in the form of land or animals. When they receive this, they will leave and form their own separate household. In the meantime they live in their parents' compound, but have separate eating and sleeping arrangements. Even after they leave their parents' home, members of extended families have widespread rights to hospitality in the homes of even their most distant relations. Indeed, family members generally carry out most of their socializing with each other. Inheritance. Inheritance generally follows rules prescribed by Islamic law. Male children inherit full shares of their father's estate, wives and daughters half-shares. An individual may make a religious bequest of specific goods or property that are then administered by the ministry of waqfs. Kin Groups. The patriarch is the oldest male of the family. He demands respect from other family members and often has a strong role in the future of young relatives. In particular it is common for members of an extended family to spread themselves out in terms of professions and influence. Some will go into government, others into the military, perhaps others join the clergy, and some may even become anti-government oppositionists. Families will attempt to marry their children into powerful families as much for their own sake as for the son or daughter. The general aim for the family is to extend its influence into as many spheres as possible. As younger members mature, older members of the family are expected to help them with jobs, introductions, and financial support. This is not considered corrupt or nepotistic, but is seen rather as one of the benefits of family membership.";1;0;1;1;1;0;1
Australia;https://www.everyculture.com/A-Bo/Australia.html;"Marriage. Most heterosexual couples marry for love and to confirm a long-term emotional, financial, and sexual commitment. Arranged marriages occur in some ethnic groups, but are not considered desirable by most people. Marriage is not essential for a cohabiting relationship or child rearing, but nearly 60 percent of people over fifteen years of age are married. The law grants members of de facto relationships legal rights and responsibilities equivalent to those of formally married couples. Homosexual couples are not recognized by law as married regardless of a long-term relationship. Marriage occurs with a civil or religious ceremony conducted by a registered official and can take place in any public or private location. The ceremony usually is followed by a celebration with food, drink, and music. Guests provide gifts of household goods or money, and the parents of the couple often make substantial contributions to the cost of the wedding. No other official exchange of property occurs. Divorce has been readily available since 1975 and involves little stigma. It requires a one-year separation period and occurs in approximately 40 percent of first marriages. Upon divorce, the husband and wife agree to divide their mutual property and child-rearing responsibilities; law courts and mediators sometimes to assist with this process. Remarriage is common and accepted. A significant trend in family formation is a dramatic increase in the proportion of marriages preceded by a period of cohabitation. Domestic Unit. The nuclear family is widely considered the norm; the most common household unit in the 1996 census was the couple, followed closely by the couple with dependent children, then the one-parent family with dependent children, the couple with nondependent children, and other family groups. A pervasive myth is that the extended family does not exist and that society is composed of nuclear families cut off from extended kin. While most people live in couple-only or nuclear family households, the extended family is an important source of support for most people. Blended families and stepfamilies with children from former marriages are becoming more common. Inheritance. Citizens have ""testamentary freedom"" or the right to declare how they wish their property to be distributed after death. With this freedom, individuals can legally enforce their cultural practices. They also can choose to remove relatives from the will and pass their property to a charitable organization or an unrelated person. If an individual dies without a valid will, the property is distributed to the spouse, then the children of the deceased, and then the parents and other kin. If there are no relatives, the property goes to the Crown. Kin Groups. Broad kin groups are not a significant feature of the national culture, but extended families exist across households and are the basis for emotional, financial, and social support. Many minority ethnic groups recognize kin networks of considerable breadth. Aboriginal cultures encompass principles of traditional kinship in which large networks of relatives form the significant communities of everyday life.";1;1;0;1;0;1;1
China;https://www.everyculture.com/Bo-Co/China.html;Marriage. According to custom, marriages are arranged by the couple's parents. While this system is less rigid than it once was, it is still common for young people to use matchmakers. People take a pragmatic approach to marriage, and even those who chose their own spouses often take practical considerations as much as romantic ones into account. Weddings are usually large, expensive affairs paid for by the groom's family. For those who can afford it, Western-style weddings are popular, with the bride in a white gown and the groom in a suit and tie. The legal age for marriage is twenty for women and twenty-two for men. A marriage law enacted by the communists in 1949 gave women the right to choose their husbands and file for divorce. While it is difficult to obtain a divorce, rates are rising. Domestic Unit. It is common for several generations to live together under one roof. After marriage, a woman traditionally leaves her parents' home and becomes part of her husband's family. The husband's mother runs the household and sometimes treats a new daughter-in-law harshly. Although today practical reasons compel most children to leave the parents' home, the oldest son often stays, as it is his duty to care for his aging parents. Even today, many young adults continue to live with their parents after marriage, partly because of a housing shortage in the cities. Inheritance. The estate generally passes to the oldest son, although, especially in the case of wealthy and powerful men, most of their personal possession traditionally were buried with them. The remaining property went to the oldest son. Since the communists came to power in 1949, women have been able to inherit property. Kin Groups. Extended family is extremely important, and the wealthy and well educated often hire genealogists to research their family trees. Family members, even distant relations, are valued above outsiders. The passing on of the family name is of great importance. If the oldest son in a family has no son of his own, he often is expected to adopt the son of his next youngest brother. If no sons are born in the clan, a sister's son may be adopted to carry on the name.;1;1;0;1;1;1;0
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;"Marriage. Individuals are free to choose their marriage partners. Many people cohabit at a young age. Polygyny and polyandry are not allowed, and it is forbidden to marry close family and kin members. Since the late 1980s, homosexuals have had the right to register their partnerships with the local city council. People marry for love, but convenience and economic gains may be equally important. Parents who are not married may wed to give legal security to their children in case of sudden or accidental death. Forty percent of the adult population is married, 45 percent is unmarried, 7 percent is divorced, and 7 percent is widowed. Divorce typically involves separation followed by a legal procedure. Domestic Unit. The ideal household unit consists of a married couple and their children who are below age twenty. However, more than 50 percent of households have only one adult (single, divorced with children, or widowed). Extended families living together are rare. Young people usually leave the parental home in their late teens. Previously children stayed in the same town or municipality as their parents, but today families are dispersed across the country. Some people choose to live in shared houses on the basis of similarities in age or ideology or for practical purposes such as ecological farming. A number of collective forms of housing for the elderly have emerged. Inheritance. For many centuries, men and women have had equal inheritance rights. If one member of a couple dies, the other partner inherits all the possessions of the deceased. If both partners die, their children inherit equal shares of their possessions. There are also special circumstances such as wills, separate estates, joint property, and divided or undivided possession of an estate. Traditionally, the oldest son inherited the farm or the position as head of the family company after the death of the father. However, the son in this case has to compensate his mother and siblings economically. This tradition extends to the royal family, where the title of king traditionally has been passed from father to oldest son. Because King Frederik IX had no sons, the constitution was changed in 1953 to make it legal for his oldest daughter to inherit the throne. Kin Groups. Family relations are traced back equally both matrilineally and patrilineally, and active kin groups often extend to the great-grandparents. Rural residents often hold ""cousin-parties"" ( fÃ¦tter-kusine-fester ) that are attended by up to 90 people.";0;1;0;1;0;1;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;"Marriage. One of the critical decisions a woman can make is the choice of marriage partner. The pattern here is one of negotiation among the members of her family about whom she will marry. She is a participant, and must in some sense agree, but many others are involved, including matchmakers. Similarly a young man may find constraints on his choice of marriage partner. The trend is for marriage partners to be increasingly more like one another in age and level of education. The old hierarchical marriage is giving way to a companionate marriage, especially in the urban middle classes. Marriage to cousins, however, remains frequent, accounting for 39 percent of marriages in a 1995 sample. Since premarital sex is rare, the pressure to marry is high, and almost everyone marries. The actual marriage ceremony is distinct from the legal contract of marriage. It is a major event in the lives of all involved. The young couple must prepare a place to live, while at the same time seeing that the often considerable costs of the ceremony are covered. People spend as much as they can, if not more, on a marriage, and in the upper classes, the sky is the limit. Polygyny (having more than one wife) among Muslims is rare, and declining. Around 5 percent of Muslim men have more than one wife, and most of them only two. A polygynous man usually maintains two households. Divorce is formally easy though families try to reconcile the partners. The rate of divorce is declining, while the absolute number is increasing. When a divorced couple has children, the mother retains custody only while they are young. The father may then claim them. Copts recognize neither polygyny nor divorce. An important signal of family identity is the personal name. Egyptians frequently do not have ""family"" names in the current Western sense of a last name that is shared by all members of an extended family. Instead, each person has a given name, followed by the given names of his or her father, grandfather, and so on. For legal purposes one's name is usually ""given name, father's name, grandfather's name,"" resulting in three given names (e.g., Hassan Ali Abdallah). Thus one carries one's paternal lineage and one's status in one's name. In certain parts of rural Egypt, where genealogy is important, people learn to recite a long list of paternal ancestors. Muslim men are likely to have religious names but some have secular names. Christians may carry the names of saints, or may be given names that are Arabic rather than religious. Women also have religious names but sometimes have more fanciful ones, including names of foreign origin. Women often do not change their names upon marriage. Domestic Unit. Although most households now are organized around a nuclear family, there are some extended family households. Marriage was historically patrilocal (brides moved to the household of the husband), though in cities the young couple often establishes a new residence, at least after a couple of years. Even when residence is not shared, extensive kin ties are maintained through frequent family gatherings. Authority tends to be patriarchal, with the senior male in the household generally given the last word and otherwise expecting deference. Wives, for instance, often are reluctant to assert that they have any serious independent power to make decisions. Inheritance. Islamic law requires partible inheritance. The property of a dead person must be divided among the heirs, usually children and surviving spouse. Male heirs are favored over female heirs by receiving a share that is twice as large. Moreover, any group of heirs should include a male, even if that means tracking down a distant cousin. A person may not dispose of more than one-third of his or her estate by will, and may not even use this provision to favor one legal heir over another. In other words, a person cannot will this one-third to one son at the expense of another, but could will it to a charity or a nonrelative. Use of this provision is rare, as people accept the Islamic rules and prefer to keep property in the family. Arrangements among heirs, particularly brothers and sisters, however, may result in a different outcome. For instance, a father may set up his daughter in marriage in lieu of an eventual inheritance. Kin Groups. Egyptian kinship is patrilineal, with individuals tracing their descent through their fathers.";1;0;1;0;1;0;1
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;Marriage. Traditional marriage customs vary by ethnic group, although many customs are transethnic. Arranged marriages are the norm, although this practice is becoming much less common, especially in urban areas. The presentation of a dowry from the male's family to the female's family is common. The amount is not fixed and varies with the wealth of the families. The dowry may include livestock, money, or other socially valued items. The proposal usually involves elders, who travel from the groom's house to the parents of the bride to ask for the marriage. The elders are traditionally the individuals who decide when and where the ceremony takes place. Both the bride's and groom's families prepare food and drink for the ceremony by brewing wine and beer and cooking food. A great deal of food is prepared for the occasion, especially meat dishes. Christians often wed in Orthodox churches, and a variety of wedding types exist. In the takelil type, the bride and groom participate in a special ceremony and agree never to divorce. This type of commitment has become rare in recent years. Wedding garb in the cities is very western: suits and tuxedos for the men and a white wedding gown for the bride. Domestic Unit. The basic family structure is much larger than the typical Western nuclear unit. The oldest male is usually the head of the household and is in charge of decision making. Men, usually having the primary income, control the family economically and distribute money. Women are in charge of domestic life and have significantly more contact with the children. The father is seen as an authority figure. Children are socially required to care for their parents, and so there are often three to four generations in a household. With the advent of urban living, however, this pattern is changing, and children often live far from their families and have a much harder time supporting them. Urbanites have a responsibility to send money to their families in rural areas and often try their best to relocate their families to the cities. Inheritance. Inheritance laws follow a fairly regular pattern. Before an elder passes away he or she orally states his or her wishes for the disposal of possessions. Children and living spouses are typically Kin Groups. Descent is traced through both the mother's and father's families, but the male line is more valued than the female. It is customary for a child to take the father's first name as his or her last name. In rural areas, villages are often composed of kin groups that offer support during difficult times. The kin group in which one participates tends to be in the male line. Elders are respected, especially men, and are regarded as the source of a lineage. In general, an elder or groups of elders are responsible for settling disputes within a kin group or clan.;1;0;0;0;1;0;1
France;https://www.everyculture.com/Cr-Ga/France.html;"Marriage. Marriage rates and age at marriage are related to socioeconomic class and region. Overall, the marriage rate is declining and the age at marriage is rising. The average age of marriage for men is twenty-nine, and that for women is twenty-seven. Women tend to marry later when they seek higher education. Rural male celibacy has been associated with rural-urban migration since the 1960s. Geographic homogamy is a strong factor in marriage: Over half of all marriages involve partners from the same department. There is also a high level of religious homogamy. The divorce rate has increased in recent years, especially since a 1975 law that made the process easier and faster. One in three marriages ends in divorce. All marriages are sanctioned by a civil ceremony in the town hall. Religious ceremonies must follow the civil ceremony, so that frequently wedding parties make the trip between mayor's office and the church. Payment for the weddings of young people is most often divided equally between the families of the bride and the groom. There has been a rise in cohabitation for unmarried couples. A recent law permitting legal unions that are not marriages for couples has given legal status to cohabitating couples, including homosexual couples. The PACS ( pacte d'association civile et solidaire ) law, passed in 1999, set up an intermediate union between marriage and cohabitation. A pacte is easier to dissolve than a marriage. Domestic Unit. The basic domestic unit is called le mÃ©nage . This includes all persons living in the same dwelling. These persons are not necessarily related. There has been a rise in single-person households since the 1960s. In 1997, 18 percent of all households were composed of single women, and 12 percent of single men. Most households, however, are composed of couples with (35 percent) or without (28 percent) children. There were three types of domestic units traditionally: the patriarchal family, the stem family, and the nuclear family, which predominates today. In the patriarchal family (a rural model that was prevalent in parts of central France), siblings stayed at home and their spouses joined the household. These large families owned property jointly. In the more hierarchical stem family, which was the most common, there was a pattern of primogeniture. The eldest son would remain in the parental home, but daughters and younger sons were obliged to seek their fortunes elsewhere. That pattern persists in some rural communities, although primogeniture has been illegal since 1804 under the Napoleonic Code. One sibling takes over the farm but ""pays off"" the parts of the patrimony due to his or her siblings. The nuclear family was most prevalent in southern France and has a more egalitarian basis than the stem family. A young couple would be established in their own household by both sets of parents. Inheritance. One of the major functions of the domestic unit is the transmission of property to children. Inheritance involves material and symbolic goods. Most property is held in the form of immovable goods such as buildings and land. Social inequalities are perpetuated through unequal access to inheritances among members of different families. Inheritance occurs not just at the death of the parents but at marriage or the setting up of a household for a young person, when loans or gifts are extended by parents. Inheritance also involves ""cultural capital,"" including education, access to various lifestyles, and ways of speaking. Although the Napoleonic Civil Code established uniform regulation of inheritance and authority within the family and equal inheritance among siblings, there are regional variations in the application of the law. Kin Groups. Kinship is bilateral, with kindreds being recognized as important units of social support. Kinship was historically more important for the peasantry and bourgeoisie than for workers or the petite bourgeoisie, who maintained neighborhood ties that were sometimes stronger than kin ties. Today the family plays a major role in transmitting cultural values, despite the decline in marriage and increasing geographic mobility. Most people continue to live in the region in which they grew up even if they move from a village to a city. Weekend visits to parents and grandparents are common. There is much diversity in the meaning and strength of kin ties across social class and ethnic lines. Ideologies of kinship, in which certain family forms are privileged over others, represent a critique of the kinship patterns of the working classes and immigrants.";0;1;0;1;0;1;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;Marriage. Marriage is based on the free will of the partners and rarely is prearranged, although that sometimes happens in rural areas, especially in the Muslim population. Mutual attraction is the most common reason for marriage, although for older couples, economic benefits or comfort may be more important. In Muslim areas, unofficial polygamy exists in rare cases. There is a significant incidence of early marriage, but there is a general tendency for later marriage. Married persons who maintain a joint household have equal rights to their possessions. Domestic Unit. The basic household in cities is the nuclear family, but frequently, grandparents live together with the family and help to bring up the children. In rural and mountainous areas, a few extended families exist, usually including several brothers with their parents and children. In this case the father of the family may control the resources, and assign tasks on the farm, while the mother is responsible for keeping the household. Younger members gradually split off, building a separate house in the neighborhood. Inheritance. If there is no will after a person's death, the property is divided among all the children, including daughters, or among the closest relatives if there are no children. Kin Groups. People ascribe great importance to kinship. Relatives up to the third or even fourth generation are considered close, and are expected to share both happy events and grievances. They meet regularly at important social events such as weddings and funerals, and neglecting the social duty to attend is disapproved. The kinship system played an important role in cushioning the effects of economic crisis when the social welfare system was disrupted. Extended kinship relations may create clientelism and protectionism as well as organized crime.;1;1;0;1;0;1;0
Germany;https://www.everyculture.com/Ge-It/Germany.html;"Marriage. In Germany, the basic kinship group, as defined by law, is the nuclear family, consisting of opposite sex partners, usually married, and their children; and, in fact, the majority of households are made up of married couples with or without children. Between 1950 and 1997, however, there were fewer and fewer marriages both in total numbers and per capita. In 1950, there were a total of 750,000 marriages, or eleven marriages for every thousand persons; in 1997, by contrast, there were 423,000 marriages, or five marriages for every thousand persons. It is estimated that 35 percent of all marriages ended in divorce in the late twentieth century. In light of these facts, there has been much media speculation on the ""crisis of the family,"" as has been the case in other industrial societies of western Europe and North America as well. Despite the increase in the number of unmarried couples, with or without children, such couples make up only 5 percent of all households. Nevertheless, the rising number of children who are born to unmarried mothers (currently 18 percent, lower than the European Union average), the rising divorce rate, and the growth of alternative forms of partnership have, since 1979, led to a broadening of the concept of family and a liberalization of family law and family policy. Much more dramatic is the reduction of the birthrate. The annual number of deaths has been greater than the annual number of births since 1972. On the eve of reunification in 1990, there was an annual birthrate of 1,400 children per 1,000 women in West Germany and 1,500 children per 1,000 women in East Germany. In the new federal states of former East Germany, the birthrate had sunken to 1,039 children per 1,000 women by 1997. In both parts of Germany, the reduction of the birthrate is matched by a progressive reduction in the average size of households. In 1998, less than 5 percent of private households had five or more members. Since 1986, the Federal Republic of Germany has provided for the payment of Kindergeld (child-raising benefits) to families or single parents with children. As of January 1999, these payments were 250 marks (or approximately half that amount in dollars) per month for the first and second child up until his or her eighteenth birthdayâ€” and, in some cases, until the twenty-seventh birthday. In the new federal states of former East Germany, there are fewer marriages and fewer children; but a disproportionately high number of children are born to unmarried couples. These differences between former East Germany and former West Germany may be attributed, in part, to the economic difficulties in the new federal states. Some of the differences, however, may be understood as lingering effects of the divergence of family law and social policy during the separation of the East and the West. In the GDR, the official policy of full employment for men and women was realized by providing women with benefits and services such as pregnancy leave, nursing leave, day-care centers, and kindergartens. In general, the family law of the GDR served to strengthen the position of women vis-Ã¡-vis men in their relationships to their children. With the cutback or elimination of such policies following the entry of the new federal states into the Federal Republic of Germany, there was both a greater hesitancy to have children and a greater tendency to view having children separately from marital status. Kin Groups. A society the size of Germany lends itself to the statistical analysis of family relations. It is unfortunate, however, that official statistics direct attention so single-mindedly to the nuclear family or variations thereof (unmarried couples, single parents) and cause observers to overlook family ties with grandparents, grown siblings, cousins, and other consanguineal or affinal relatives. Nevertheless, it is clear that ties with more distant relatives are a vital part of kinship in Germany at the onset of the twenty-first century, as is especially evident on holidays, at key points in the lifecycle of individuals, and in large family projects such as moving.";0;1;0;1;0;1;0
India;https://www.everyculture.com/Ge-It/India.html;"Marriage. Although the different regions and religions have considerable variety in marital arrangements, the arranged marriage is a traditional feature of virtually every community; today, except among the urban middle classes, it still is widely practiced. Marriages that are not arranged by the couple's parents, often termed ""love marriages,"" are looked down on as impulsive acts of passion. The more usual style of marriage unites a couple who have barely met beforehand. It is through the institution of arranged marriage and its correlate, caste endogamy, that parents exercise control not only over their adult children but also over the social structure and the caste system. Generally, the country has two main types of marriage: a north Indian one in which the man must not marry a closely related cousin and a south Indian one in which a cross-cousin, whether the mother's brother's daughter or the father's sister's daughter, is the ideal spouse. Many south Indian castes also permit uncle-niece marriage. Maharashtra state has intermediate forms. Domestic Unit. The residential unit is normally the household, but this unit varies widely in its structure, from housing a large extended family of three or four generations to a household made up of a lone widow. In large buildings with many rooms, it is common to find a number of discrete households, especially in cities; each of these households may be distinguished by its use of a common cooking hearth and perhaps by depending on a common source of funds. In crowded urban conditions, each room may constitute a separate household, as may each small grass hut in a roadside encampment. Inheritance. The written will is largely unknown except in modern urban areas. The tradition has always been that sons inherit property and status from their fathers and that daughters can hope to receive a dowry at the time of their marriage. However, there is much local and caste variation in precisely who inherits. In some groups, the oldest son inherits everything and then makes an accommodation for his younger brother and provides his sisters' dowries. In other groups, the brothers may inherit equal shares, except that the youngest brother inherits the house. Other patterns occur, but in general, although modern law states that daughters should inherit equally with their brothers, this almost never happens except in Islamic families. Kin Groups. The largest kin-based group is the caste, of which there are several thousand. A caste is an endogamous unit with its own traditional occupation and rank. It is made up of a number of clans, which are also kin-based but are exogamous and often intermarrying units. The clan in turn is made up of smaller and more localized groups called lineages, which are also exogamous. A caste may include hundreds of lineages of varying size and status, depending on how many generations of depth they claim. Major lineages commonly are composed of minor lineages, but the smallest are so localized that they are made up of a number of neighboring and closely related extended or nuclear families. Thus, a caste is endogamous, but all the kin-based units below it are exogamous and follow rigid rules about which clans or lineages are allowed to inter-marry.";1;0;1;1;1;0;0
