country;link;text;national_animal_emblem;national_flower_emblem;coat_of_arms;religious_symbolism;regional_symbolism;Two colours flag;3 colors flag
Australia;https://www.everyculture.com/A-Bo/Australia.html;"Symbolism. The flag is dark blue with the British Union Jack in the upper left corner, the sevenâ€“ pointed white Commonwealth star below the Union Jack, and to the right five white stars representing the Southern Cross constellation. The national animal emblem is the kangaroo, the floral emblem is the golden wattle tree, and the national colors are green and gold. The national coat of arms is a shield supported by a kangaroo and an emu amid branches of wattle. Until 1984 the national anthem was the British ""God Save the Queen,"" but it was changed to ""Advance Australia Fair"" as part of a movement toward asserting greater separation from the legacy of the colonial power. These formal symbols have assisted in the establishment of a national consciousness. A highly symbolic national event held annually is Anzac Day which marks the landing and subsequent gallant defeat of Australian troops at Gallipoli during World War I. Throughout the country war memorials and monuments acknowledge the achievements and sacrifices made by Australians in that and other wars. Flora and fauna native to the continent, such as the kangaroo, koala, emu, and wattle, are symbols of the national ethos, especially in international and national contexts, although this is also the case for unique buildings such as the Sydney Harbour Bridge and the Sydney Opera House. The beach is recognized as a symbol of the national culture.";1;1;1;0;0;0;1
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;"Symbolism. Most Brazilians would agree that the symbols that best characterize their nation are the exuberant revelry of the pre-Lenten celebration of carnival and the wildly popular sport of soccer, called futebol in Brazil. Carnival is a four-day extravaganza marked by parades of costumed dancers and musicians, formal balls, street dancing, and musical contests, a truly national party during which Brazilians briefly forget what they call the ""hard realities of life."" Carnival is symbolic of the national ethos because it plays to many of the dualities in Brazilian life: wealth and poverty, African and European, female and male. The key to carnival's popularity is its break with and reversal of the everyday reality. Through the use of costumeâ€”notably called fantasia in Portugueseâ€”anyone can become anybody at carnival time. Class hierarchies based on wealth and power are briefly set aside, poverty is forgotten, men may dress as women, leisure supplants work, and the disparate components of Brazilian society blend in a dizzying blaze of color and music. Brazilians are also passionate about soccer and are rated among the best players of the sport in the world. Every four years when the world's best teams vie for the World Cup championship, Brazil virtually shuts down as the nation's collective attention turns to the action on the playing field. And when Brazil wins the World Cupâ€”as it has on more occasions than any other countryâ€”the delirium of the populace is palpable. Brazilian flags are hoisted aloft, everyone wears green and yellow (the national colors), and thousands of Brazilians, seemingly intoxicated with pride, take to the streets in revelry.";0;0;0;0;0;0;0
China;https://www.everyculture.com/Bo-Co/China.html;"Symbolism. The flag has a red background with a yellow star in the upper left-hand corner and four smaller yellow stars in a crescent formation to its right. The color red symbolizes the revolution. The large star stands for the Communist Party, and the four small stars symbolize the Chinese people; the position of the stars stands for a populace united in support of the state. The main symbol of the nation is the dragon, a fantastical creature made up of seven animals. It is accorded the power to change size at will and to bring the rain that farmers need. New Year's festivities often include a line of people in a dragon costume. Another patriotic symbol is the Great Wall. Spanning a length of 1,500 miles, it is the only human-made structure visible from the moon. Work began on the wall in the third century B.C.E. and continued during the Ming Dynasty in the fifteenth century. The emperor conscripted criminals and ordinary farmers for the construction; many died while working, and their bodies were buried in the wall. It has become a powerful symbol of both the oppression the Chinese have endured and the heights their civilization has achieved.";1;0;0;0;0;1;0
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;"Symbolism. Markers of the national culture include the national flag (the Dannebrog), the national anthem, public holidays, and hymns, songs, and ballads. According to myth, the national flag descended from the sky to the Danish army during a battle in Estonia in 1219 and was institutionalized as a national symbol in the seventeenth century. The flag—a horizontal white cross on a red field— symbolizes a membership community and a sense of belonging, marking an extensive number of social events. Danes use the flag at festive occasions, including birthdays, weddings, sports events, political meetings, and public holidays. Hymns, songs, and ballads provide metaphors associated with Danish nationality, the mother tongue, school, history, and homeland. The national anthem, ""Der er et Yndigt Land"" (""There Is a Lovely Land""), was written around 1820.";0;0;0;0;0;1;0
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;"Symbolism. The dominant symbols in the formal and semiformal sphere derive mainly from aspects of Egypt's history, especially the Pharaonic and Islamic periods. The three Giza pyramids (sometimes together with the Great Sphinx) represent the most important and obvious visual symbol of the Egyptian nation. It is the most widespread ""postcard"" image, and also the title of the major daily newspaper Al-Ahram (with the three pyramids on the top of the front page). The symbol of Egypt Air, the national airline, is Horus, a figure from ancient Egyptian religion represented as a falcon. Other symbols derive from the country's Islamic heritage. The nineteenth-century Mohammed Ali mosque built on top of a medieval citadel is visible from different parts of Cairo. Of more architectural significance are the Ibn Tulun and Sultan Hassan mosques in Cairo and the Qaitbey mausoleum and school in the northern cemetery. One important symbol is derived from the country's geography: the Nile River. The Nile is invoked in different contexts, each representing a facet of the country's identity or prevalent themes of the culture. It is associated with immortality, romance, or glory (the construction of the high dam). In recent years, Nile cruises have become a favored tourist attraction, and ""cleaning up the Nile"" has become an environmental slogan. The flag is an abstract tricolor, with black standing for the past of oppression, red for sacrifice, and white for the future. A centerpiece of a falcon completes the design. Reflecting a sense of Arab unity, the flags of several other Arab countries have the same colors. The current national anthem is the music of the song ""Biladi"" (meaning ""My Country""), a patriotic song that was popular during the 1919 uprising against the British occupation.";1;0;0;1;1;0;1
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;"Symbolism. The monarchy, known as the Solomonic dynasty, has been a prominent national symbol. The imperial flag consists of horizontal stripes of green, gold, and red with a lion in the foreground holding a staff. On the head of the staff is an Ethiopian Orthodox cross with the imperial flag waving from it. The lion is the Lion of Judah, one of the many imperial titles signifying descent from King Solomon. The cross symbolizes the strength and reliance of the monarchy on the Ethiopian Orthodox Church, the dominant religion for the last sixteen hundred years. Today, twenty-five years after the last emperor was dethroned, the flag consists of the traditional green, gold, and red horizontal stripes with a five-pointed star and rays emitting from its points in the foreground over a light blue circular background. The star represents the unity and equity of the various ethnic groups, a symbol of a federalist government based on ethnic states. Sovereignty and freedom are characteristics and thus symbols of Ethiopia both internally and externally. Many African nation-states, such as Ghana, Benin, Senegal, Cameroon, and the Congo adopted Ethiopia's colors for their flags when they gained independence from colonial rule. Some Africans in the diaspora established a religious and political tradition deemed Ethiopianism. Proponents of this movement, which predates pan-Africanism, appropriated the symbol of Ethiopia to liberate themselves from oppression. Ethiopia was an independent, black nation with an ancient Christian Church that was not a colonial biproduct. Marcus Garvey spoke of viewing God through the spectacles of Ethiopia and often quoted Psalm 68:31, ""Ethiopia shall stretch her hands unto God."" From Garvey's teachings, the Rastafarian movement emerged in Jamaica in the 1930s. The name ""Rastafari"" is derived from Emperor Haile Selassie, whose precoronation name was Ras Tafari Makonnen. ""Ras"" is both a princely and a military title meaning ""head"" in Amharic. There is a population of Rastafarians living in the town of Shashamane, which was part of a land grant given to the Ethiopian World Federation by Emperor Haile Selassie in return for support during the Italian occupation during World War II.";1;0;0;1;1;0;1
France;https://www.everyculture.com/Cr-Ga/France.html;"Symbolism. Numerous national symbols are associated with the French Revolution, which established the nation as a democratic republic at the end of the eighteenth century. They were further reinforced during the Third Republic at the turn of the twentieth century. Known as the tricoleur, the flag is blue, white, and red. White is associated with monarchy, red with the republic, and blue with Charlemagne, Clovis, and other early rulers. La Marseillaise became the official national anthem in 1946. It was written in Strasbourg in 1792 but became associated with Marseille when troops from that city entered Paris singing it on 30 July 1792. It was an important rallying song during the First Republic but was not used on official occasions again until the Third Republic. The Gallic rooster ( le coq gaulois ) became associated with the nation during the Renaissance. It was used at first as a royal symbol but during the revolution came to stand for the identity of the nation. Used variously over time and sometimes associated with the figure of Liberty or Marianne, the rooster came to be known as a symbol of the nation during World War I. Today it is often used by sports teams. Marianne is a symbol of the republic as a motherland and stands for the rallying cry of ""liberty, equality, fraternity."" Marianne became an official national symbol during the Third Republic, although this female figure developed out of female symbols dating back to the revolutionary period. There are multiple ways of depicting this figure. Statues and images have portrayed Marianne as wearing a helmet and at other times the Phrygian bonnet; during the Third Republic, she began to be seen wearing a crown of ripe wheat. Since the nineteenth century, mayors have commissioned a sculpture of Marianne for their town halls. Now these busts depict popular models, the first of whom was Brigitte Bardot. The most recent model, chosen in 1999 after much discussion and debate, is the actress Laetitia Casta.";1;0;0;0;0;0;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;"Symbolism. The competing impact of Asian and western cultures is most prominently expressed in Byzantine and Persian influences. Another overlap is between Christian and pagan, with a much weaker influence from neighboring Muslim patterns. Today, much cultural symbolism reflects a mythologized interpretation of tradition that is influenced by self-perception as belonging to European, Christian contemporary society. Mythical symbols include the Golden Fleece of the Greek myth of the Argonauts' journey to Colchis and the mythical ancestor of Georgians, Kartlos. Other important mythical figures include Saint George, and Amirani, a noble hero analogous to Prometheus. Mythical symbols of the Abkhazians and Ossetians are both dominated by a mythical cycle dealing with the semidivine people of Narts. The numbers seven and nine have symbolic meaning, as does the number three, which reflects the Trinity. The snow leopard and lion symbolize noble valor and vigor. The vine symbolizes fertility and the Dionysian spirit, and dominates medieval architectural ornamentation. A very important ornamental symbol is the fire-wheel swastika, a solar symbol traditionally used both as an architectural ornament and in wood carving as well as on the passport and currency. The Cross plays an equally significant role. The hymn ""Thou Art the True Vine"" is the most important sacred song. National symbols often refer to language, motherland (national territory), and Confession (Christian Orthodoxy). The ideas of loyalty to kin, honor, and hospitality are held in high esteem. The characteristic metaphor is that of a mother. Other metaphors are linked to the sun, which is interpreted as a source of beauty and light, brotherhood, supreme loyalty, and victory. State symbolism dates back to the Democratic Republic of Georgia (1918â€“1921). The most respected national festival (26 May) is linked to the declaration of independence in 1918. The national flag of black and white stripes against a dark crimson background and the state emblem, White George on horseback framed by a septagonal star, repeat the imagery of that period.";1;0;1;1;1;1;0
Germany;https://www.everyculture.com/Ge-It/Germany.html;"Symbolism. Any review of national symbols in Germany must take into account the clash of alternative symbols, which correspond either to different phases of a stormy history or to different aspects of a very complex whole. The eagle was depicted in the regalia of the Holy Roman Empire, but since Prussia's victory over Austria in 1866 and the exclusion of Austria from the German Reich in 1871, this symbol has been shared by two separate states, which were united only briefly from 1937 to 1945. Germany is the homeland of the Reformation, yet Martin Luther is a very contentious symbol, since 34 percent of all Germans are Roman Catholic. In the late eighteenth and early nineteenth century, Germany became known as the land of Dichter und Denker , that is, poets and philosophers, including such luminaries as Immanuel Kant, Johann Gottfried von Herder, Johann Wolfgang von Goethe, Friedrich von Schiller, and Wilhelm von Humboldt. In the latter nineteenth century this image was supplemented by that of the Prussian officer and the saber-rattling Kaiser. Der deutsche Michel â€”which means, approximately, ""Mike the German,"" named after the archangel Michael, the protector of Germanyâ€”was a simpleton with knee breeches and a sleeping cap, who had represented Germany in caricatures even before the nineteenth century. The national and democratic movement of the first half of the nineteenth century spawned a whole series of symbols, including especially the flag with the colors black, red, and gold, which were used for the national flag in the Weimar Republic (1919â€“1933) and again in the Federal Republic of Germany (as of 1949). The national movement also found expression in a series of monuments scattered over the countryside. The National Socialists were especially concerned with creating new symbols and harnessing old ones for their purposes. In the Federal Republic of Germany, it is illegal to display the Hakenkreuz or swastika, which was the central symbol of the Nazi movement and the central motif in the national flag in the Third Reich (1933â€“1945). The official symbols of the Federal Republic of Germany are the eagle, on one hand, and the black, red, and gold flag of the democratic movement, on the other. In many ways, however, the capital city itself has served as a symbol of the Federal Republic, be it Bonn, a small, relatively cosy Rhenish city (capital from 1949 to 1990), or Berlin, Germany's largest city and the capital of Brandenburg-Prussia, the German Empire, the Weimar Republic, the Third Reich, and, since 1990, the Federal Republic. From the SiegessÃ¤ule (Victory Column) to the Reichstag (parliament), from the Charlottenburg Palace to the former Gestapo Headquarters, from the Memorial Church to the fragmentary remnants of the Berlin Given the contentious character of political symbols in Germany, many Germans seem to identify more closely with typical landscapes. Paintings or photographs of Alpine peaks and valleys are found in homes throughout Germany. Often, however, even features of the natural environment become politicized, as was the case with the Rhine during Germany's conflicts with France in the nineteenth century. Alternatively, corporate products and consumer goods also serve as national symbols. This is certainly the case with a series of high-quality German automobiles, such as Porsche, Mercedes-Benz, and BMW.";1;0;1;1;1;0;1
India;https://www.everyculture.com/Ge-It/India.html;Symbolism. The national flag, which was adopted in 1947, is a tricolor of deep saffron, white, and green, in horizontal bands (with green at the bottom). In the center of the white band is a blue wheel, the chakra , which also appears on the lion column-capital of the Emperor Asoka at Sarnath. This carving, which is over 2,200 years old, is also a national emblem that is preserved in the Sarnath Museum. The sandstone carving features four lions back to back, separated by wheels ( chakra , the wheel of law), standing over a bell-shaped lotus. The whole carving once was surmounted by the wheel of law. The national anthem is a song composed by Rabindranath Tagore in 1911 entitled Jana-gana mana. The nearly useless Saka-era calendar also may be considered a national symbol, adopted in 1957 and still often used officially alongside the Gregorian calendar.;1;1;1;1;0;0;1
