country;link;text;Mother main role in upbringing;Kindergarten;Public schooling;Father participate in raising;Grandparents has role in raising;Teaching method variation
Australia;https://www.everyculture.com/A-Bo/Australia.html;"Socialization. Infant Care. Child rearing varies considerably with the country of origin, class background, the education and occupation of the parents, and the religious group to which a family belongs. While most practices are aimed at developing a responsible and independent child, Aboriginal and many migrant families tend to indulge young children more than do most Anglo-Celtic parents. Some ethnic groups supervise their young more strictly than the dominant Anglo-Celtic population, encouraging them to mix only with family and friends, be dependent on the family, and leave decision making to the parents. Child Rearing and Education. Mothers are the preferred primary caretakers, although fathers are taking increasing responsibility for child care. In the past mothers were not as isolated in their child care responsibilities, receiving help from older children, extended kin, and neighbors. The reduction in family and household size in recent years has meant that the burden of care falls largely on mothers. There is significant variation in ideas about good parenting, reflecting the diverse cultural values and traditions of parents' ethnic background. Practices justified by recent scientific research usually are considered the best. In the past the values most prized in children were obedience and deference, but today good parenting is commonly associated with having assertive and independent children. There are no formal initiation ceremonies for the ""national culture,"" although the twenty-first birthday often is celebrated as a rite of passage into adulthood. Access to high-quality education is considered the right of all citizens, and the government provides compulsory primary and secondary schooling for children between ages six and fifteen. Most schools are fully funded by the government. The remainder are nongovernment schools that receive nearly half their funding from fees and private sources such as religious associations. Attendance at nongovernment schools has been increasing since the 1970s because it is felt that independent schooling provides better educational and employment opportunities. Preschool centers are available for children younger than age six. Nongovernment schools are mainly Catholic. Education is aimed at providing children with social and workplace skills. Educational methods vary depending on particular requirements; for example, education for children in remote rural locations relies heavily on advanced communication technologies. Guidelines have been established in all states for dealing with children with special educational needs, such as those with disabilities and those who are intellectually gifted. Some schools with a high percentage of Aboriginal and/or migrant pupils have special language policies that include instruction in languages other than English. Higher Education. Higher education is considered to offer the best employment opportunities. Consequently, tertiary education has become more widely available and is undertaken by an increasingly larger proportion of the population. It is available in two forms: universities and institutions of technical and further education (TAFE). In 1992, 37 percent of women and 47 percent of men received post-school qualifications, and 12.3 percent of the labor force held university degrees in 1993. Universities also attract substantial numbers of overseas students. The government is responsible for funding most universities and institutions, with increasing contributions being made by students in the form of fees and postgraduation tax payments.";1;1;1;1;1;1
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;Socialization. Child Rearing and Education. Like so many aspects of Brazilian life, educational opportunities are tied to social class. Brazil has never invested heavily in public education and most middle-class and elite families send their children to private school. Education is also linked to race and geography. A white person in the Southeast has an average of 6.6 years of schooling, whereas a person of color living in the Northeast has spent an average of just 3.5 years in school. Despite the low level of funding, the last four decades of the twentieth century witnessed a significant increase in the number of Brazilians attending school and a concomitant rise in the literacy rateâ€” in 2000 about 82 percent of Brazilians are literate. In 1960 almost half the population had little or no schooling, a figure that fell to 22 percent by 1990. Notably, school is one setting in which females are often more successful than males. In some regions of Brazil, girls are more likely than boys to be in school and women tend to be more literate than men. Higher Education. Two-thirds of all public monies spent on education in Brazil goes to universities, the other third to public primary and secondary schools. While public universities in Brazilâ€”widely considered superior to their private counterpartsâ€”charge no tuition, they have very competitive entrance exams which generally favor students who have attended costly private schools with high academic standards. The value placed on higher education by certain segments of Brazilian society may explain why it receives such a large share of revenue. Economic success in Brazil is said to come more from who one knows than what one knows, and where one is educated, influences who one knows. University education then, aside from training students in a particular profession, also confers (or confirms) social status which, in turn, provides the personal connections that can influence future success.;0;0;1;0;0;0
China;https://www.everyculture.com/Bo-Co/China.html;"Socialization. Infant Care. Traditionally, male babies were valued much more highly than female offspring. Girls were looked at as a liability and in times of economic hardship often were sold into lives of servitude or prostitution. While this has changed somewhat, those attitudes have again become prevalent with the government's one-child policy. When families are allowed to have only one child, they want to ensure that it is a boy; for this reason, rates of female infanticide and abandonment have risen. While babies are highly valued, it is considered bad luck to praise them aloud. It is common to offer backward compliments, remarking on a child's ugliness. A baby usually is not washed for the first three days after birth. On the third day, he or she is bathed, and friends and relatives come to view the new addition to the family. When a male child turns one month old, the parents throw a First Moon party. The boy's head is shaved, and the hair is wrapped in a red cloth, which, after a hundred days, is thrown in the river. This is thought to protect the child. Women usually are granted maternity leave between two months and one year, but rural women tend to go back to work earlier. Child Rearing and Education. From a very young age, children are assigned responsibilities in both the family and the community. In the countryside, this means farm chores; in the city, it consists of housework or even sweeping the street. Schoolchildren are responsible for keeping the classroom clean and orderly. Under communism, when women were encouraged to take jobs outside the home, child care facilities became prevalent. Grandparents also play a significant role in raising children, especially when the mother works outside the home. Education is mandatory for nine years. Ninety-six percent of children attend kindergarten and elementary school, and about two-thirds continue on to secondary school, which lasts for three years. In high school, students pursue either technical training or a general education. Those who receive a general education can take the extremely difficult qualifying exams to enter a university. The educational system stresses obedience and rote learning over creativity. Both traditional Confucians and the Communist Party view education as a method for inculcating values in the young. Under Mao, the educational system suffered from propaganda and the devaluation of intellectual pursuits. Because of the size of the population, classrooms and teachers are in short supply. The country has made great progress in increasing the literacy of the general population. When the communists came to power, only 15 percent of the population could read and write. Today, thanks to mandatory schooling for children and adult education programs, the rate is over 75 percent. Higher Education. Higher education is not accessible to many. Admission to the universities is extremely competitive; only 2 percent of the population attends college. In addition to the rigorous entrance examination, students are required to demonstrate their loyalty to the Communist Party. During the summers, university students perform manual labor. The curriculum emphasizes science";1;1;1;0;1;1
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;"Socialization. Infant Care. Three to six months of maternal leave is a legal right, but the mother may share the last three months of that leave with the father. Infants generally are breast-fed until the end of the period of maternal leave. Traditionally, the mother was the primary caregiver, but recently the father and other family members have been recognized as equally important in raising infants. Because Denmark has one of the highest rates of women in the labor market, most infants above six months of age spend the mother's working hours in public nurseries or private child care. Infant care has been much debated, resulting in great variations in regard to ideas about how much an infant should be carried around, whether it should sleep alone or with the parents, whether parents should attend to a baby every time it cries, and how to manage infants who cry during the night. The overall tendency is that younger parents recognize the individual rights and needs of an infant more than older people do. Child Rearing and Education. Most children enter kindergarten at age three, and many continue school attendance until their early teens. In 1997, more than 80 percent of three- to six-year-olds attended some kind of day care institution. The pedagogy practiced in nursery schools, kindergartens, and after-school centers is not research-based but is informed by changing ideologies of what children are like and what they need. An ideology of ""self-management"" is practiced in many institutions, leaving it up to the children to decide what they want to do and how, where, and when to do it. In the ideal family, the mother and father share authority, including their children in decision making. In pedagogical circles, the term ""negotiation-families"" is used to illustrate this situation. Most children are materially well taken care of, with nourishing food, regular supplies of new clothes and toys, and a private room in the family house. Some people argue that working parents compensate for their absence by giving their children toys, videos, and computers. Higher Education. There are five universities: the University of Copenhagen, the University of Southern Denmark, the University of Aarhus, Aalborg University, and Roskilde University Center. In 1996, 167,764 students were enrolled in those institutions: 93,544 women and 74,220 men. All children in Denmark are obligated to complete nine years of school, either at private or public institutions. After they have fulfilled that requirement, 50 percent of the students choose a trade by entering vocational training, which includes an apprenticeship and formal schooling. Thirty percent select a one- to three-year college training program, which prepares them for teaching, nursing, or other professional occupations. The remaining 20 percent enter university. Nearly two-thirds of graduating students apply for university, but the majority are not admitted; those who are turned down either reapply the next year or select one of the vocational or college options. Admission has become increasingly competitive, based on grade point averages. All higher education is free of charge.";1;1;1;1;1;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;Socialization. Child Rearing and Education. In all parts of Egypt and among all social classes, having children is considered the greatest blessing of all. Caring for children is primarily the women's responsibility. Many Egyptian women (both Copt and Muslim) abide by the Koranic directive to breast-feed children for two years. Grandparents and other members of the extended family play an active role in bringing up children. There is a general preference for boys over girls, although in infancy and early childhood children of both sexes are treated with equal love and care. The preference to have at least one son is related to the desire to have an heir, and so provide continuity from father to son. Education is highly valued in Egypt, and families invest a lot in that area. Even low-income families try to educate their children as much as possible. Education, especially having a university degree, is considered an important avenue for social mobility. But many families cannot afford to educate their children beyond the elementary level. In addition, many children have to work at an early age to help support their families.;1;0;0;0;1;0
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;"Socialization. Infant Care. Children are raised by the extended family and community. It is the primary duty of the mother to care for the children as part of her domestic duties. If the mother is not available, the In urban society, where both parents often work, babysitters are employed and the father takes a more active role in child care. If a child is born out of wedlock, whoever the women claims is the father is required by law to support the child economically. If parents get divorced, a child five years old or older is asked with whom he or she wants to live. Child Rearing and Education. During early childhood, children have the greatest exposure to their mothers and female relatives. At around the age of five, especially in urban areas, children start attending school if their families can afford the fees. In rural areas, schools are few and children do farm work. This means a very low percentage of rural youth attend school. The government is trying to alleviate this problem by building accessible schools in rural areas. The patriarchal structure of society is reflected in the stress on education for boys over girls. Women face discrimination problems as well as physical abuse in school. Also, the belief still exists that females are less competent then males and that education is wasted on them. Higher Education. Children who do well in elementary school go on to secondary school. It is felt that missionary schools are superior to government schools. Fees are required for missionary schools, although they are reduced considerably for religious adherents. University is free, but admission is extremely competitive. Every secondary student takes a standardized examination to get into college. The acceptance rate is approximately 20 percent of all the individuals who take the tests. There is a quota for the various departments, and only a certain number of individuals are enrolled in their desired majors. The criterion is the grades of first-year students; those with the highest marks get the first choice. In 1999, enrollment at Addis Ababa University was approximately 21,000 students.";1;0;1;1;1;0
France;https://www.everyculture.com/Cr-Ga/France.html;"Socialization. Infant Care. Infant care is done primarily by the mother, although fathers and female relatives participate. In the past, upper-class women sent their children to wet nurses until they were weaned. Children were swaddled with various methods, depending on the region. Baptism is an important familial celebration of the birth of an infant. Child Rearing and Education. State-sponsored schools for early childhood education begin to take children at the age of three. There are also state-subsidized child care centers for younger children. Although the influence of the family in childhood socialization is very important, there are regional and class-based variations in the methods used. In general, children have been seen as naturally ""wild"" and in need of learning how to behave in the proper (""civilized"") way through guidance from adults. Peer socialization is as important as adult socialization, however, and children generally develop a strong peer culture. There are both public, state-run schools and private (mostly Catholic) schools, which receive some state aid if they follow the state curriculum. Public education was established as mandatory, free, and secular by the Ferry laws of the late nineteenth century. Education is controlled by the Ministry of Education and Research, with the exception of agricultural education, which is under the Ministry of Agriculture. There are three levels of public schooling: the primary school, the college, and the lycee. Schooling is mandatory until age sixteen. Higher Education. Students receive a higher education after they have completed secondary schooling and successfully taken one of several examinations to earn a baccalaureat. Historically, higher education was divided between universities and grandes Ã©coles. Decentralization efforts have been under way to counter the domination of Paris over academic research and teaching. Provincial centers of learning have grown and received increased funding. About 10 percent of all students are foreign. With the growth of the European Union, education initiatives have fostered partnerships between French universities and universities in other European nations.";1;1;1;1;1;1
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;"Socialization. Infant Care. Customary practices in the care of infants have been abandoned, such as the practice of rearing young infants in a special type of cradle that restricted the movement of a child. Children are the focal point of the family, and much attention is paid to their education and development, especially in the educated classes. Because kindergartens are less available today, retired grandparents often care for the children. Child Rearing and Education. The early intellectual development of infants is valued, and parents love to show their children's achievements. The values inculcated and the skills taught differ by gender. Boys are taught to be strong and courageous and deal with cars or tools. Girls are supposed to be modest and skilled in housekeeping, sewing, and cooking; play with dolls rather than war toys; and are more often taught to play musical instruments. Although many parents believe in genetically transmitted qualities and talents, education is valued. Higher Education. Higher education and a university diploma are highly valued even when the quality of education is unsatisfactory. It is almost impossible to have a career without a diploma, although higher education is not always correlated with a higher income.";0;1;0;0;1;1
Germany;https://www.everyculture.com/Ge-It/Germany.html;"Socialization. Child Rearing and Education. In Germany, infant care and child rearing correspond to typical western European and North American patterns. Childhood is viewed as a developmental stage in which the individual requires attention, instruction, affection, and a special range of consumer products. Child rearing is typically in the hands of the mother and father or the single parent, but here, especially, the importance of the extended family is evident. Variations in child rearing behavior by social class and social milieu are, however, less well studied than other aspects of adult behavior. In light of the critique of the ""authoritarian personality"" by the German sociologist Theodor Adorno and others, some middle-class parents have tried to practice an anti-authoritarian form of child rearing. Adorno and his colleagues thought that certain child rearing practices, especially strict and arbitrary discipline, encourage stereotypic thinking, submission to authority, and aggression against outsiders or deviants. In the past, they argued, the prevalence of such practices in Germany contributed to the success of National Socialism. In most federal states, the school system divides pupils between vocational and university preparatory tracks. The vocational track includes nine years of school and further part-time vocational training, together with a paid or unpaid apprenticeship. The university preparatory track requires attendance of the humanistic Gymnasium, beginning in the fifth year of school, and successful completion of the Abitur, a university entrance examination. Higher Education. Germany has many universities and technical colleges, almost all of which are self-administered institutions under the authority of the corresponding departments of the individual federal states. University study is still structured according to the humanistic ideals of the nineteenth century, which entrusts students with a great deal of independence. The assignment of grades, for example, is largely independent of class attendance. Grades are given for oral and written examinations, which are administered at the departmental level after the completion of the semester. Students of law and medicine begin with their chosen subject in the first year at the university and pursue relatively specialized courses of study. Admittance to popular";1;0;1;1;1;1
India;https://www.everyculture.com/Ge-It/India.html;Socialization. Infant Care. Infant care is almost completely the responsibility of mothers, older siblings, and grandmothers. When the mother works in the fields or a factory, a grandmother commonly is the chief provider of daytime care for an infant. After about the age of two, older sisters spend much of their time in this activity. Child Rearing and Education. In 1995, the government spent over 2 percent of its resources on education. Although the government's goal of eradicating illiteracy among people age fifteen to thirty five by the year 2000 has not been achieved, there has been a steady decrease in illiterary since the late nineteenth century. Among people above age six in 1991, 52 percent were literate, a 9 percent increase from 1981. Kerala state has the highest rates of literacy. However, nationally there remains a great sexual disparity: While 64 percent of men were literate in 1991, only 39 percent of women were. The central government is more interested in military power than in literacy, and millions of rural parents, especially Muslims, feel that the schooling of girls is a waste of time and money. Only the establishment of sixteen as the minimum legal age for marriage has made it possible for many girls to get their parents' reluctant permission to attend school. While in earlier times missionary-run schools were important, especially in rural areas, in the last century local and state schools have educated the vast majority of students. Over the last half century universal school attendance for eight years, equal opportunities for female students, relevant vocational training, and improvement in the quality of classes and textbooks have been national goals, with an emphasis on free and compulsory education for everybody from ages six to fourteen. However, there has been a recent growth of privately run schools, many associated with religious organizations, which tend to do a better job but commonly charge fees. Higher Education. There were 166 universities in 1996, including thirteen central universities which are the oldest, best known, and best funded. The rest are run by state governments or religious foundations. Funding, hiring professors, and setting educational standards in all universities are centralized through the University Grants Commission, which was established in 1956. About a hundred colleges throughout the country have an autonomous status, but others are branches of major universities within their states. In 1996 there were 6.4 million university students enrolled throughout the country, of whom 5.7 million were undergraduates and 2.2 million were women. There are 418 institutions that grant degrees in engineering and technology and 1,029 that award diplomas. Adult education programs combat illiteracy, lack of knowledge about family planning, and inadequate understanding of new farming techniques. Such programs tend to be more accessible in urban areas. A major hurdle has been the language of university instruction. The central universities generally teach in English and produce graduates with internationally acceptable credentials, but most of the smaller universities teach in the local (state) language so that their students' skills are not easily transferable even to other parts of the country. The opportunities for graduate study overseas are much reduced for this category of students, and even the acquisition of up-to-date textbooks can be a problem.;1;0;1;0;1;1
